Item ID,Item Image Name,Image References,Category,Sub-Category,Brand,Color (Primary),Color (Secondary),Pattern,Fit,Rise,Length,Silhouette,Neckline,Drape Notes,Fit Source,Fabric,Weight,Stretch,Breathability,Surface Texture,Formality (1-5),Vibe Tags,Occasion Tags,Layering Position,Season,Max Comfortable Temp (C),Condition,Wear Frequency Estimate,Color Temperature,Skin Tone Interaction,Skin Tone Caution Flag,Contrast Level,Versatility Score (1-5),Role in Outfit,Volume/Visual Weight,Shoe Type,Sole Profile,Aesthetic Range,Top Compatibility Note,Client notes,Status
BOT-01,WhatsApp Image 2026-05-17 at 8.44.50 PM (2).jpeg,Img 8 (flat),Trousers,Wide-leg pleated trousers,Unidentified,Warm khaki / sand / light tan,—,Solid,Wide / relaxed,Mid-high (pleated waist visible),Full length,"Wide-leg, drapes loose through leg",,Double-forward pleats at the waist create significant volume through the hip and thigh before tapering slightly toward the ankle. Fabric is a smooth suiting-weight material with excellent drape — falls cleanly and fluidly from the waist. Breaks lightly at the shoe with a full-length hem. The black belt anchors the high waist well. The silhouette reads structured and intentional — classic Italian/European trouser territory.,Flat lay only,"Likely polyester-viscose blend or tencel (smooth, drapes)",Mid,Slight,Medium,"Smooth, slight sheen",3-4,"cosmopolitan, designer-dev, editorial, Scandi, minimal, clean","office, date night (upscale), restaurant, brunch, party",,All-season,32,New,Regular,Warm,CAUTION - light khaki/tan sits close to skin tone; risks blending below the waist,YES,Low,3,Supporting,Medium (wide silhouette adds visual weight),,,,,,
BOT-02,WhatsApp Image 2026-05-17 at 8.44.50 PM (3).jpeg,Img 9 (flat - tags on),Trousers,Wide-leg pleated trousers,Unidentified (visible hangtag - text not legible in photo),Light grey / silver-grey,—,Solid (subtle woven texture),Wide / relaxed,Mid-high,Full length,Wide-leg,,<FILL FROM OTHER SOURCES>,Flat lay only,Likely wool-poly suiting blend or technical poly,Mid,Slight,Medium,"Smooth woven, slight texture",3-4,"cosmopolitan, designer-dev, editorial, minimal, clean","office, date night (upscale), restaurant, brunch",,All-season,30,New,New - pending first wear,Neutral / cool-leaning,Excellent - cool grey contrasts well with warm skin,No,Medium,4,Supporting,Medium,,,,,Slightly heavy for summers,
BOT-04,WhatsApp Image 2026-05-18 at 12.13.09 AM.jpeg | WhatsApp Image 2026-05-18 at 12.13.10 AM.jpeg,,Trousers,Wide-leg pleated trousers,Unidentified,Dark navy (reads near-black in flat lay due to lighting; clearly navy in worn shots),—,Solid,"Wide / relaxed - confirmed from worn photo: sits clean at waist, falls full through leg",Mid to mid-high,Full length (hem breaks at the ankle in worn shot),"Wide-leg, drapes full",,Fabric drapes cleanly from the pleated waist; falls full and slightly loose through the thigh and knee; hem breaks at the ankle without stacking. Side profile shows clean drape without billowing.,"WORN PHOTO (Img 19 front, Img 20 side) - ground truth","Likely poly-viscose blend or technical suiting fabric (smooth, drapes well)",Mid,Slight,Medium,"Smooth, slight sheen",3-4,"cosmopolitan, designer-dev, editorial, minimal, clean","office, date night (upscale), restaurant, brunch, party",,All-season,30,New,Regular,Cool (navy),Excellent - dark navy contrasts well with warm Indian skin,No,High,4,Supporting (but the wide silhouette is itself a style statement),Medium-high (wide silhouette has visual weight),,,,,Flexible material and very ligth weight,
BOT-05,WhatsApp Image 2026-05-17 at 9.08.12 PM.jpeg,Img 14 (flat),Shorts,Distressed denim shorts,Unidentified,Charcoal / faded black denim,—,Solid with intentional distressing (rips at the front thighs),Regular (flat-lay reading),Mid,At-knee / just-above-knee,Straight,," Gray distressed denim shorts
Sits at the natural waist with a relaxed, slightly loose fit through the seat and thighs. The hem falls just above the knee with a raw, frayed cut. Fabric is stiff denim with minimal drape — holds its shape rather than falling. The distressing adds visual texture and bulk to the front panels. Waistband appears flat and structured.",Flat lay only,Cotton denim,Mid-heavy,No or slight,Low-medium,Denim weave with distressing,1-2,"street, grunge, metalhead, rugged, surf, casual","casual hangout, boys night, concert, beach/Goa, party (casual)",,"Summer, monsoon",38,Distressed - by design (intentional rips); some additional natural wear may be present,Occasional to regular,Neutral (charcoal),"Good - neutral dark, contrasts with warm skin",No,High,2,Star (distressing carries visual weight),High (rips draw the eye),,,,,"Never worn, not sure on what combo goes with it ",
BOT-06,WhatsApp Image 2026-05-17 at 9.08.13 PM.jpeg | WhatsApp Image 2026-05-18 at 12.15.12 AM.jpeg | WhatsApp Image 2026-05-18 at 12.15.13 AM.jpeg | WhatsApp Image 2026-05-18 at 12.15.15 AM (1).jpeg | WhatsApp Image 2026-05-18 at 12.15.15 AM.jpeg | WhatsApp Image 2026-05-18 at 12.15.16 AM.jpeg,"Img 15 (flat) | Img 74 (worn full-length) | Img 75 (worn front/angled) | Img 76 (worn waist-down close-up) | Img 77 (worn full-length, alt top) | Img 78 (worn full-length, alt top angle)",Shorts,Linen-look chino shorts,Possibly Jack & Jones / Selected (partial brand text visible on label - '& Jones' fragment readable),Warm beige / sand / light tan,—,Solid (subtle linen-look weave),Regular (label reads 'REGULAR'),Mid,At-knee,Straight,,"Beige chino shorts
Clean, mid-rise fit with a structured waistband. Fabric has a linen-like texture that drapes softly but retains some body. Sits slightly loose through the seat and thighs with a hem falling just above the knee. Minimal creasing at the rise suggests a good seat fit. Overall silhouette is relaxed without being baggy.",Flat lay only,Cotton-linen blend (subtle slubby texture),Light-mid,No,High,Slubby (linen-look),2-3,"coastal, earthy, preppy, clean, designer-dev, Goa/hippie","brunch, casual hangout, beach/Goa, restaurant (casual), travel day, date night (casual)",,"Summer, monsoon",38,Good,Regular,Warm,CAUTION - warm beige/sand sits close to skin tone; less risky below the waist than a top but still flagged,YES,Low,3,Supporting,Low-medium,,,,,"Under worn, probably because it makes my top part look wider and the bottom narrow, maybe it should be wider at the bottom",Give Away/Back of the closet
BOT-07,WhatsApp Image 2026-05-17 at 9.08.14 PM.jpeg,Img 16 (flat),Shorts,Faded denim / chambray shorts,Fabindia (label clearly visible),Faded blue-grey / chambray,—,"Solid (faded denim texture, no patterning)",Regular (flat-lay reading),Mid,At-knee,Straight,,"mid-rise, relaxed through the thigh, hem just above the knee. Slightly more volume through the seat and thigh compared to Image 2. The rolled hem adds a deliberate cuff detail. Fabric has a soft cotton drape with moderate structure. Sits slightly fuller in the thigh, suggesting these may run a touch larger.",Flat lay only,Chambray or lightweight denim,Mid,No,Medium,Chambray weave,2-3,"coastal, earthy, preppy, casual, Goa/hippie, artisan","brunch, casual hangout, beach/Goa, restaurant (casual), travel day",,"Summer, monsoon",36,Worn / faded (could be stylistic wash or genuine wear - hard to distinguish),Regular,Cool (chambray reads cool),Good - chambray blue contrasts with warm Indian skin,No,Medium,4,Supporting,Low-medium,,,,,Faded to some degree and under worn; not sure if I should retire or keep,Give Away/Back of the closet
BOT-08,WhatsApp Image 2026-05-18 at 12.13.06 AM.jpeg | WhatsApp Image 2026-05-18 at 12.13.07 AM.jpeg,"Img 17 (worn front), Img 18 (worn side)",Jeans,"Black denim jeans, straight cut",Unidentified (small leather patch visible at back-right waist - logo not legible in photo),Dark black / near-black denim (subtle thigh fading visible),—,Solid (subtle denim fade),"Regular / straight - WORN photo confirms: sits at mid-rise, hangs cleanly from the hip without bunching",Mid,"Full length, hem just touches the foot",Straight (slight slouch through thigh),,Front view shows clean drape from hip down without pinching; side profile confirms straight cut with no taper through the calf; hem rests on the foot without stacking. Sits well on the athletic frame.,"WORN PHOTO (Img 17 front, Img 18 side) - ground truth",Cotton denim,Heavy,Cannot confirm,Low,Denim weave,2,"street, rugged, metalhead, grunge, cosmopolitan, designer-dev","casual hangout, boys night, concert, party, travel day, date night (casual)",,"Winter, monsoon, all-season for cool weather",28,Good (light fading consistent with regular wear),Regular,Neutral,"Good - neutral dark base, doesn't compete with skin",No,High,4,Supporting,Low-medium,,,,,Seems quite faded after repeated wear; not sure if I should keep + get a new one or discard + get a new one,Give Away/Back of the closet
BOT-09,WhatsApp Image 2026-05-18 at 12.13.12 AM.jpeg,Img 21 (worn),Jeans,Regular-fit medium-wash denim,Unidentified,Medium blue / mid-wash,—,Solid,Regular / straight,Mid-rise,Full length,Straight,,Sits at mid-rise; drapes cleanly from hip. Minimal taper through thigh and knee. Hem breaks at the foot.,Worn photo (Img 21),"Cotton denim, heavyweight",Heavy,No,Low,Denim weave,2,"street, casual, cosmopolitan, designer-dev","casual hangout, boys night, travel day, date night (casual)",,"Winter, monsoon, all-season for cool weather",28,Good (light fading consistent with regular wear),Regular,Neutral,Good - neutral medium blue contrasts with warm skin,No,Medium-high,4,Supporting,Low-medium,,,,,"Heavy pair of jeans, cant be worn on very hot days",
BOT-10,WhatsApp Image 2026-05-18 at 12.13.13 AM.jpeg | WhatsApp Image 2026-05-18 at 12.16.25 AM (1).jpeg,Img 22 (worn front) | Img 90 (worn full-length) — TENTATIVE; bottom identification ambiguous,Trousers,Wide-leg trousers,Unidentified,Black ,—,Solid,Wide / relaxed,Mid-rise,Full length,Wide-leg,,Falls full and loose through thigh and knee without billowing. Hem breaks at ankle cleanly.,"Worn photo (Img 22, 23)",Likely poly-viscose blend (smooth fabric),Mid,Slight,Medium,"Smooth, slight sheen",3,"cosmopolitan, designer-dev, minimal, clean","office, date night (upscale), restaurant",,All-season,30,Good,Regular,Cool,Excellent - black contrasts well with warm skin,No,High,4,Supporting,Medium-high,,,,,,
BOT-11,WhatsApp Image 2026-05-18 at 12.13.15 AM.jpeg | WhatsApp Image 2026-05-18 at 12.16.17 AM.jpeg | WhatsApp Image 2026-05-18 at 12.16.18 AM (1).jpeg | WhatsApp Image 2026-05-18 at 12.16.18 AM.jpeg | WhatsApp Image 2026-05-18 at 12.16.19 AM (1).jpeg | WhatsApp Image 2026-05-18 at 12.16.19 AM.jpeg | WhatsApp Image 2026-05-18 at 12.16.20 AM (1).jpeg | WhatsApp Image 2026-05-18 at 12.16.21 AM (1).jpeg,"Img 25 (worn side) | Img 83 (worn full-length) | Img 84 (worn full-length, alt angle) | Img 85 (worn waist-up) | Img 86 (worn full-length) | Img 87 (worn full-length) | Img 88 (worn waist-up) | Img 89 (worn partial — bottom visible below TOP-22)",Trousers,Wide-leg pleated trousers,Unidentified,Olive green / warm tan,—,Solid,"Wide / relaxed, pleated front",Mid-high,Full length,Wide-leg,,Pleated waist; worn photos show clean drape from mid-high rise through full leg. Hem breaks at ankle.,Worn photo (Img 24-26),"Likely poly-viscose or tencel (smooth, drapes well)",Mid,Slight,Medium,"Smooth, slight sheen",3-4,"cosmopolitan, designer-dev, editorial, minimal","office, date night (upscale), restaurant, brunch",,All-season,32,Good,Regular,Warm,CAUTION - olive-tan close to warm skin tone; risk of blending,YES,Low-medium,3,Supporting,Medium-high,,,,,,
BOT-13,WhatsApp Image 2026-05-18 at 12.13.17 AM.jpeg | WhatsApp Image 2026-05-18 at 12.13.17 AM (1).jpeg | WhatsApp Image 2026-05-18 at 12.13.17 AM (2).jpeg | WhatsApp Image 2026-05-18 at 12.13.18 AM.jpeg,Img 30 (worn) | Img 31 (worn) | Img 32 (worn) | Img 33 (flat),Trousers,Plaid trousers,Unidentified,Cream / light beige,Grey (plaid pattern),Plaid,Regular / relaxed,Mid-rise,Full length,Regular / straight,,Relaxed drape through thigh and knee. Hem breaks at the foot.,Worn photo (Img 30-32),Likely linen or linen-cotton blend (visible texture),Light-mid,No,High (linen),Textured / slubby,2-3,"earthy, artisan, designer-dev, coastal","brunch, casual hangout, restaurant (casual), beach/Goa, travel day",,"Summer, monsoon, all-season warm",38,Good,Regular,Warm,CAUTION - light cream/beige close to skin tone; risk of blending,YES,Low-medium,3,Supporting,Low-medium,,,,,Never worn; cant create an outfit with this one,
SHO-01,WhatsApp Image 2026-05-18 at 12.17.06 AM.jpeg | WhatsApp Image 2026-05-18 at 12.17.08 AM.jpeg,Img 50 (flat top-down) | Img 51 (flat side),Shoes,Canvas high-top sneakers,Gully Labs,Cream / off-white,—,Solid,,,,High-top,,"Canvas construction; clean, minimal aesthetic. Good for casual hangouts and street looks.","Flat lay (Img {img_num}, {img_num+1})",Canvas cotton,Light,No,Medium-high,Smooth / woven canvas,1-2,"street, casual, minimal, cosmopolitan","casual hangout, boys night, concert, travel day, beach/Goa",,All-season,35,Worn (creasing visible; appears to be frequently used),Regular,Cool,Good - cream contrasts subtly with skin; clean white pops,No,Medium,4,Star (versatile baseline shoe),Low,High-top canvas sneaker,Flexible rubber,"Casual, street, minimal, cosmopolitan",Works with most casual outfits,,
SHO-02,WhatsApp Image 2026-05-18 at 12.17.09 AM.jpeg | WhatsApp Image 2026-05-18 at 12.17.08 AM (1).jpeg | WhatsApp Image 2026-05-18 at 12.17.09 AM (1).jpeg,Img 52 (flat back view) | Img 119 (flat top-down) | Img 120 (flat top-down alt),Shoes,Color-block low-top sneakers,Comet (visible on heel),Brown / tan,"White / cream (color-block panels), Olive / khaki (mudguard + collar lining)",Solid with color-blocking,,,,Low-top,,Suede/nubuck and canvas color-block; relaxed athletic aesthetic. Fits well with casual and street looks.,Flat lay (Img {img_num}),Suede/nubuck + canvas (color-blocked),Light-mid,No,Medium,Suede + canvas weave,2,"street, casual, designer-dev, rugged","casual hangout, boys night, concert, brunch",,"All-season, warmer months",32,Worn (creasing on suede; appears well-used),Regular,Warm (tan) + cool (white),Good - tan and white contrast provides visual interest without clashing with warm skin,No,Medium-high,3,Star (color-blocking carries outfit identity),Low-medium,Low-top canvas/suede sneaker,Flexible rubber,"Casual, street, warm-weather",Pairs well with casual shorts and tees,,
SHO-03,WhatsApp Image 2026-05-18 at 12.17.07 AM.jpeg,Img 53 (flat held in hand),Shoes,Slippers / house shoes,Unidentified (partial branding visible but not legible),Cream / warm beige,—,Solid,,,,Slip-on / open-back,,"Soft, comfortable slippers. Worn around the house or for quick outdoor trips. Not suitable for formal outings or detailed styling.",Flat lay (Img {img_num}),Likely cotton or canvas blend with soft lining,Light,,High,Soft / cushioned,0,"casual, minimal","home, casual hangout",,All-season,Any,Good (appears well-used but comfortable),Frequent (home wear),Warm,Cream blends subtly with warm skin; not a styling focus piece,No,Low,1,Not a wardrobe star (home wear only),Low,Slip-on slipper,Soft sole,"Casual, comfort, home",Not for outfits; home wear only,,
SHO-04,WhatsApp Image 2026-05-18 at 12.17.10 AM (1).jpeg,Img 121 (flat top-down),Shoes,Low-top sneakers,Nike (Air Force 1),Black (all-black),—,Solid,,,,Low-top,,"Classic AF1 silhouette — chunky sole, leather upper, perforated toe box. All-black colorway reads sleek and versatile.",Flat lay (Img 121),Full-grain leather upper,Mid-heavy,No,Low (leather),Smooth leather with perforated toe box,2-3,"street, cosmopolitan, minimal, clean, designer-dev","casual hangout, boys night, date night (casual), party, office (casual), concert",,All-season,32,Worn (visible creasing on leather; some wear on sole edges — well-used but structurally sound),Regular,Neutral,Excellent — all-black is a universally flattering anchor; provides strong contrast against light brown skin from the ground up,No,High,5,Supporting (versatile baseline shoe that grounds any outfit),Medium (chunky AF1 sole adds some visual weight),Low-top leather sneaker,Chunky rubber (Air unit),"Street, casual, smart-casual, cosmopolitan","Works with virtually everything — jeans, chinos, wide-leg trousers, shorts. The all-black reads dressier than white sneakers.",,
SHO-05,WhatsApp Image 2026-05-18 at 12.17.10 AM.jpeg,Img 122 (flat top-down),Shoes,Slide sandals (dual-buckle),Unidentified (Birkenstock Arizona style — embossed markings on footbed may confirm brand upon physical inspection),Black (all-black),—,Solid,,,,Open-toe slide,,Classic dual-buckle slide sandal with molded contoured footbed. Two wide adjustable straps across the forefoot. All-black colorway reads clean and minimal.,Flat lay (Img 122),Synthetic or leather upper straps; EVA or rubber molded footbed and sole,Light,No,"High (open-toe, open-back)",Smooth straps with matte finish; textured footbed,1-2,"minimal, clean, coastal, casual, Goa/hippie, street","casual hangout, beach/Goa, brunch, home, travel day, boys night (casual)",,"Summer, monsoon, all-season warm",Any (open footwear),Good (appears lightly worn; footbed shows some use but straps and sole are in good shape),Regular (warm weather),Neutral,Good — all-black is universally neutral; does not compete with skin tone from ground level,No,High (against lighter skin at ankle/foot),4,Supporting (casual anchor that grounds warm-weather outfits),Low (minimal footwear),Dual-buckle slide sandal,Flat molded (contoured footbed),"Casual, coastal, minimal, resort, street","Works with shorts, linen trousers, casual wide-leg pants. Not suitable for office or formal occasions. Pairs naturally with the relaxed/coastal pieces in the wardrobe (TOP-06, TOP-10, TOP-20, TOP-22).",,
TOP-01,WhatsApp Image 2026-05-17 at 8.44.43 PM.jpeg,Img 1 (flat),T-Shirt,Crew neck T-shirt,Possibly Calvin Klein (faint chest text - not fully legible),Bright white,—,Solid,Relaxed (worn photos confirm — sits slightly loose on athletic frame without billowing),,Short-sleeve,Relaxed,Crew,"Worn photos show relaxed drape; hem sits at hip level; comfortable fit for an athletic 6'0"" frame in size XL","Worn photo (Img 106-107, 109) - ground truth",Cotton jersey,Mid,Slight,High,"Smooth, soft-washed",2,"clean, minimal, street, cosmopolitan, designer-dev","casual hangout, boys night, brunch, travel day, date night (casual)",Base,All-season,35,Good (slight creasing; faint mid-chest mark visible - possible stain or shadow),Regular,Cool/neutral,Bright white pops well against light brown skin - strong contrast,No,High,5,Supporting,Low,,,,,,
TOP-02,WhatsApp Image 2026-05-17 at 8.44.49 PM (1).jpeg | WhatsApp Image 2026-05-18 at 12.16.27 AM.jpeg | WhatsApp Image 2026-05-18 at 12.16.28 AM (1).jpeg | WhatsApp Image 2026-05-18 at 12.16.28 AM.jpeg,Img 2 (flat - folded/crumpled) | Img 95 (worn close-up) | Img 96 (worn full-length) | Img 98 (worn 3/4 body),Shirt,Printed mandarin-collar shirt (camp collar variant with mandarin neckline confirmed from worn photos),JodiLife,Deep indigo / navy,"Cream/ivory, red-pink, olive green",Tropical/animal print (tigers + foliage + floral motifs),Relaxed (confirmed from worn photos - sits comfortably on athletic frame with sleeves rolled to 3/4),,Regular (hem sits at hip),"Relaxed, slightly boxy",Mandarin / band collar,Worn photos confirm relaxed drape through torso; mandarin/band collar sits naturally. Bold print reads as statement piece.,"Worn photo (Img 95-96, 98) - ground truth",Likely viscose or cotton-rayon blend (drape and print clarity),Light-mid,No,Medium-high,Smooth,2,"Goa/hippie, coastal, maximalist, bold, surf","beach/Goa, casual hangout, party, boys night, brunch, restaurant (casual)",Base / open as outer (typical of printed shirts),"Summer, all-season for warm-climate travel",38,Cannot determine from photo (folded),Occasional,"Mixed (cool navy base, warm accents) - reads warm-leaning overall",Warm accents harmonize with warm Indian skin; navy provides contrast,No,High (bold pattern),2,Star,High,,,,,"Sometimes feels a little much for casual settings etc, need to maybe ignore that thought. Pairing footwear with this is always a challenge",
