Item ID,Item Image Name,Image References,Category,Sub-Category,Brand,Color (Primary),Color (Secondary),Pattern,Fit,Rise,Length,Silhouette,Neckline,Drape Notes,Fit Source,Fabric,Weight,Stretch,Breathability,Surface Texture,Formality (1-5),Vibe Tags,Occasion Tags,Layering Position,Season,Max Comfortable Temp (C),Condition,Wear Frequency Estimate,Color Temperature,Skin Tone Interaction,Skin Tone Caution Flag,Contrast Level,Versatility Score (1-5),Role in Outfit,Volume/Visual Weight,Shoe Type,Sole Profile,Aesthetic Range,Top Compatibility Note,Client notes,Status
TOP-29,WhatsApp Image 2026-05-20 at 6.27.34 PM.jpeg | WhatsApp Image 2026-05-20 at 6.27.35 PM (1).jpeg,"Img 131 (worn front) | Img 132 (worn front, alt angle)",T-Shirt,Short-sleeve graphic band tee (A Perfect Circle — octopus + moon phases),Unidentified (band merch; likely official or unofficial A Perfect Circle merchandise),Black,Teal / cyan + gold (graphic colors),Graphic (octopus illustration + moon-phase arc + 'A Perfect Circle' arched text),Relaxed,,Short-sleeve,Relaxed straight; sleeves sit mid-bicep; not oversized,Crew,Worn photos show relaxed fit on athletic frame; falls cleanly without clinging,"Worn photo (Img 131, Img 132) — ground truth",Cotton jersey,Mid,Slight,Medium-high,Smooth jersey,1-2,"metalhead, grunge, street, bold, statement","concert, boys night, casual hangout, casual office (creative startup), travel day",Base / under open shirt or jacket,All-season (Bangalore),38,Good,Regular,Cool,Black is high-contrast against warm Indian skin — flattering; teal/gold graphic adds visual interest without color conflict against skin,No,High,2,Star (band-tee graphic is the focal point),High,,,,,,
TOP-30,WhatsApp Image 2026-05-20 at 6.27.35 PM.jpeg,Img 133 (worn front),T-Shirt,Short-sleeve graphic band tee (Megadeth — Vic Rattlehead skull figure),Unidentified (band merch),Black (faded),Cream / red / green (graphic colors),Graphic (Megadeth logo + skull/figure illustration centered on chest),Relaxed / oversized,,Short-sleeve,Boxy / drop-shoulder,Crew,Worn photo shows oversized fit on athletic frame; falls without clinging; sleeves sit mid-bicep,Worn photo (Img 133) — ground truth,Cotton jersey,Mid,Slight,Medium-high,Smooth jersey; mild fade visible in black ground,1-2,"metalhead, grunge, street, bold, statement","concert, boys night, casual hangout, travel day",Base / under open shirt or jacket,All-season (Bangalore),38,Worn (mild fade in black ground),Regular,Cool,Black is high-contrast against warm Indian skin — flattering,No,High,2,Star (band-tee graphic is the focal point),High,,,,,,
TOP-31,WhatsApp Image 2026-05-20 at 6.27.36 PM (1).jpeg | WhatsApp Image 2026-05-20 at 6.27.36 PM.jpeg,"Img 134 (worn front) | Img 136 (worn front, alt angle)",T-Shirt,Short-sleeve graphic band tee (Gojira — whale + spiral motif),Unidentified (band merch),Navy / dark indigo (acid-wash/mineral wash),White / off-white (graphic),Acid-wash with chest graphic (Gojira band text + circular spiral-of-life motif with whale),Relaxed / oversized,,Short-sleeve,Boxy / drop-shoulder,Crew,Worn photos show oversized fit on athletic frame; falls cleanly without clinging; acid-wash creates marbled texture across body,"Worn photo (Img 134, Img 136) — ground truth",Cotton jersey with acid-wash finish,Mid,Slight,Medium-high,Acid-wash mineral-wash surface — uneven marbling across navy ground,1-2,"metalhead, grunge, street, bold, statement, artisan","concert, boys night, casual hangout, travel day",Base / under open shirt or jacket,All-season (Bangalore),38,"Good (acid-wash is design, not damage)",Regular,Cool,Navy is high-contrast against warm Indian skin — flattering,No,High,2,Star (band-tee graphic is the focal point),High,,,,,,
TOP-32,WhatsApp Image 2026-05-20 at 6.27.36 PM (2).jpeg | WhatsApp Image 2026-05-20 at 6.27.37 PM.jpeg,"Img 135 (worn front) | Img 140 (worn front, alt angle)",T-Shirt,Oversized short-sleeve acid-wash tee with small chest graphic (arched gateway + palm tree motif),Unidentified,Muted dusty purple / lavender (acid-wash mineral wash),Mustard / gold-yellow (graphic),Acid-wash with small chest graphic on left chest,Oversized,,Short-sleeve,Drop-shoulder boxy oversized,Crew,Worn photos show clearly oversized fit on athletic frame; drops past hip; drop-shoulder seam visible mid-upper-arm,"Worn photo (Img 135, Img 140) — ground truth",Cotton jersey with acid-wash finish,Mid,Slight,Medium-high,Acid-wash mineral surface — uneven lighter patches over purple ground,1-2,"artisan, earthy, Goa/hippie, designer-dev, statement","casual hangout, beach/Goa, travel day, concert, brunch",Base,All-season (Bangalore),38,Good (acid-wash is design),Regular,Warm-cool (dusty purple sits between),Muted purple works against warm Indian skin — adds color interest without competing; safer than bright purple,No,Medium,3,Both (statement color but small graphic),Medium-high,,,,,,
TOP-33,WhatsApp Image 2026-05-20 at 6.27.37 PM (1).jpeg | WhatsApp Image 2026-05-20 at 6.27.38 PM (3).jpeg | WhatsApp Image 2026-05-20 at 6.27.38 PM.jpeg,"Img 137 (worn open over black turtleneck) | Img 143 (worn front, alt angle) | Img 144 (worn front, fuller torso)",Jacket,Oversized distressed cotton/denim chore jacket with raw fringed hem,Unidentified,Black (washed),—,Solid with intentional fringed/frayed hem (distressed detail),Oversized / relaxed,,Long-sleeve,Boxy oversized; raw frayed hem hangs at hip,Point collar,Worn open as outer layer over black turtleneck; oversized through torso and shoulders; raw fringed/distressed hem is a deliberate design feature,Worn photo (Img 137) — ground truth,Mid-heavy cotton drill / lightweight denim,Mid-heavy,No,Low-medium,Crisp washed cotton with intentionally frayed bottom edge (raw threads exposed across hem),3,"designer-dev, rugged, grunge, street, editorial, artisan","casual hangout, boys night, date night (casual), concert, travel day",Outer (worn open),"Monsoon, winter (Bangalore); cooler evenings",26,Distressed (intentional — fringed hem is design feature),Regular,Cool,Black anchors well against warm Indian skin,No,High,3,Star (statement raw-hem detail draws the eye),High,,,,,,
TOP-34,WhatsApp Image 2026-05-20 at 6.27.37 PM (2).jpeg | WhatsApp Image 2026-05-20 at 6.27.37 PM (3).jpeg,"Img 138 (worn front) | Img 139 (worn front, alt angle)",T-Shirt,Short-sleeve acid-wash graphic tee — CARGO BAY postal-stamp logo on left chest,CARGO BAY (visible graphic text),Charcoal / dark grey (acid-wash mineral wash),Cream / pale yellow (graphic),Acid-wash with small chest graphic (stylized postal-stamp 'CARGO BAY' wordmark with sunburst motif),Relaxed,,Short-sleeve,Relaxed straight (slightly drop-shoulder),Crew,Worn photos show relaxed fit on athletic frame; not oversized; falls cleanly without clinging,"Worn photo (Img 138, Img 139) — ground truth",Cotton jersey with acid-wash finish,Mid,Slight,Medium-high,Acid-wash mineral marbling across charcoal ground,2,"designer-dev, earthy, coastal, artisan, clean","casual hangout, brunch, travel day, casual office, beach/Goa",Base,All-season (Bangalore),38,Good (acid-wash is design),Regular,Cool,Charcoal is a clean neutral that works well against warm Indian skin,No,Medium-high,3,Supporting (small chest graphic recedes; color carries),Medium,,,,,,
TOP-35,WhatsApp Image 2026-05-20 at 6.27.38 PM (1).jpeg | WhatsApp Image 2026-05-20 at 6.27.39 PM (2).jpeg,"Img 141 (worn open over black tee) | Img 146 (worn front, alt angle)",Jacket,Cream artisan-appliqué cotton drill chore jacket (one-of-a-kind),Unidentified (looks like a small-batch designer or artisan piece),Cream / off-white,Olive (applique) / navy-black (applique) / cream (sherpa patch),"Solid base with abstract hand-applied appliqué patches (olive palm-tree-like motif on left chest, navy serpentine accent on right side, white sherpa/fleece patch)",Regular / slightly relaxed,,Long-sleeve,"Regular through shoulders, slightly boxy through torso",Point collar,Worn open as outer over black tee; collar sits flat; button placket visible; sleeves fall to wrist; structured fabric holds shape,Worn photo (Img 141) — ground truth,Cotton drill / heavyweight cotton twill base; wool or felted-fiber appliqués,Mid-heavy,No,Low-medium,Crisp twill base; appliqués are dimensional (raised) creating tactile contrast,3-4,"artisan, designer-dev, editorial, bold, maximalist, Scandi","date night (casual), date night (upscale), party, restaurant, brunch, casual hangout",Outer (worn open),"Monsoon, winter (Bangalore); cooler evenings",26,Good,Occasional (statement piece),Warm,Cream/off-white is close to warm Indian skin tone but the dark navy + olive appliqués break it up — net effect is balanced rather than washing-out,No (the appliqué contrast saves it),Medium,3,Star (one-of-a-kind appliqué work — must be the focal point of any outfit),High,,,,,,
TOP-36,WhatsApp Image 2026-05-20 at 6.27.38 PM (2).jpeg,Img 142 (worn open over black tee),Shirt/Shacket,Heavyweight multicolor plaid flannel CPO overshirt with single chest pocket,Unidentified,"Navy / dark base with red, yellow, green plaid lines",Red / yellow / green (plaid),Plaid (multicolor — navy-base with red/yellow/green check),Relaxed / regular,,Long-sleeve,Relaxed straight through torso; sits at upper hip,Point collar,Worn open over black tee; structured heavy flannel holds shape; chest pocket sits flat on left,Worn photo (Img 142) — ground truth,Heavyweight brushed cotton flannel (CPO weight),Heavy,No,Low-medium,"Brushed flannel — soft hand, visible nap, holds shape",2-3,"rugged, workwear, metalhead, grunge, street, earthy","casual hangout, boys night, concert, travel day, beach/Goa (cool evenings)",Base / open as outer (over a tee),"Monsoon, winter (Bangalore)",24,Good,Regular,Warm-cool (multi-color),Plaid pattern carries the visual interest; works well against warm Indian skin as long as it's worn over a solid contrast layer (e.g. black tee),No,Medium-high,3,Star (loud plaid dominates),High,,,,,,
TOP-37,WhatsApp Image 2026-05-20 at 6.27.39 PM (1).jpeg | WhatsApp Image 2026-05-20 at 6.27.39 PM.jpeg | WhatsApp Image 2026-05-20 at 6.27.40 PM (1).jpeg | WhatsApp Image 2026-05-20 at 6.27.40 PM.jpeg | WhatsApp Image 2026-05-20 at 6.27.41 PM (1).jpeg,"Img 145 (worn buttoned front) | Img 147 (worn buttoned alt) | Img 148 (worn buttoned, weave close-up) | Img 151 (worn open over black tee) | Img 152 (worn buttoned waist-up)",Shirt/Jacket,Open-knit cotton crochet/lace shirt-jacket with point collar,Unidentified,Cream / ivory / warm off-white,—,Open-knit lace / crochet texture (intentional openwork),Relaxed,,Long-sleeve,Relaxed straight; hem sits at upper hip,Point collar (button-through),Worn photos show relaxed-but-not-oversized drape on athletic frame; open-weave pattern is sheer enough that base layer color shows through (black tee shows through clearly in Img 151),"Worn photo (Img 145, 147, 148, 151, 152) — ground truth",Cotton crochet / open-knit lace,Light,Slight,High,Open-weave texture with vertical ribs and lacy openings; soft hand,3,"artisan, Goa/hippie, designer-dev, editorial, coastal, bohemian","date night (casual), date night (upscale), brunch, beach/Goa, party, restaurant",Base / open as outer (visually transparent — works best over a solid base),"Summer, monsoon (Bangalore)",34,Good,Occasional (statement piece),Warm,"CAUTION — cream/ivory sits close to warm Indian skin tone, AND the open weave makes the skin visible through gaps. Best worn over a dark base layer (black/charcoal/deep navy) to create contrast and avoid blending.",YES,Low (against bare skin) / Medium (over a dark base layer),3,Star (statement texture — focal layer),Medium,,,,,,
TOP-38,WhatsApp Image 2026-05-20 at 6.27.40 PM (2).jpeg | WhatsApp Image 2026-05-20 at 6.27.41 PM (2).jpeg,"Img 149 (worn front, sleeves rolled) | Img 153 (worn front, unbuttoned at neck)",Shirt,Black long-sleeve button-up shirt with single chest pocket,Unidentified,Black (solid),White (button contrast),Solid,Regular,,Long-sleeve,Regular through torso; hem hits at upper hip; sleeves can be rolled to elbow,"Point collar (small, button-through)",Worn photo shows clean regular fit on athletic frame; sleeves rolled to forearm; mild drape through torso without bunching,Worn photo (Img 149) — ground truth,"Cotton or cotton-poly blend (light-mid weight, slight body)",Light-mid,Slight,Medium,"Smooth weave, slight body — looks like a workhorse smart-casual shirt",3-4,"clean, minimal, designer-dev, cosmopolitan, editorial","office, date night (casual), date night (upscale), restaurant, party, brunch",Base / open as outer (over a black tee for layering),All-season (Bangalore),32,Good,Regular,Cool,Black is high-contrast against warm Indian skin — flattering; one of the most versatile shirt colors,No,High,5,Supporting (recedes; lets bottoms/accessories carry),Medium,,,,,,
TOP-39,WhatsApp Image 2026-05-20 at 6.27.40 PM (3).jpeg,Img 150 (worn front),T-Shirt,"Basic short-sleeve crew-neck tee (solid, no graphic)",Unidentified,Black (solid),—,Solid,Relaxed,,Short-sleeve,Relaxed straight; falls cleanly without clinging; hem at upper hip,Crew,Worn photo shows relaxed fit on athletic frame; not oversized; sleeves sit mid-bicep,Worn photo (Img 150) — ground truth,Cotton jersey (mid-weight tee),Mid,Slight,Medium-high,Smooth jersey,2,"clean, minimal, designer-dev, street, cosmopolitan","casual hangout, boys night, travel day, casual office, brunch, base layer for outerwear",Base (often used under jackets and overshirts),All-season (Bangalore),38,Good,Daily rotation,Cool,Black is high-contrast against warm Indian skin — flattering; the universal base layer,No,High,5,Supporting (the base — recedes by design),Low,,,,,,
TOP-40,WhatsApp Image 2026-05-20 at 6.27.41 PM (3).jpeg | WhatsApp Image 2026-05-20 at 6.27.41 PM.jpeg | WhatsApp Image 2026-05-20 at 6.27.42 PM (1).jpeg | WhatsApp Image 2026-05-20 at 6.27.42 PM (2).jpeg,"Img 154 (worn front) | Img 155 (worn front, alt angle) | Img 156 (worn open) | Img 157 (worn open, alt angle)",Shirt,Black mandarin/band-collar long-sleeve shirt (concealed placket),Unidentified,Black (solid),—,Solid,Regular / slightly relaxed,,Long-sleeve,Regular through shoulders; drapes cleanly through torso; falls past hip,Mandarin / band collar (no point collar),Worn photos show clean drape; mandarin collar sits flat on neck without folding; the shirt looks soft and can be worn buttoned (Img 154-155) or open as a light over-layer (Img 156-157),"Worn photo (Img 154, Img 155, Img 156, Img 157) — ground truth",Soft cotton / cotton-poly blend (slight sheen),Light-mid,Slight,Medium,Smooth weave with subtle sheen,3-4,"designer-dev, cosmopolitan, minimal, clean, editorial","office, date night (upscale), date night (casual), restaurant, party",Base / open as outer (light over-layer),All-season (Bangalore),32,Good,Regular,Cool,Black is high-contrast against warm Indian skin — flattering; mandarin collar adds a refined / non-Western edge,No,High,4,Supporting (recedes; collar style adds quiet detail),Medium,,,,,,
TOP-41,WhatsApp Image 2026-05-20 at 6.27.42 PM (3).jpeg | WhatsApp Image 2026-05-20 at 6.27.43 PM.jpeg,"Img 158 (worn front, sleeves rolled) | Img 162 (worn front, closer angle)",Shirt,Crisp white long-sleeve dress shirt with point collar,Unidentified,Bright white,—,Solid,Slim / regular,,Long-sleeve,"Slim through shoulders, regular through torso; clean drape; hem hits low hip","Point collar (small/regular, button-through)",Worn photos show fitted shoulders and torso without bunching; sleeves rolled to forearm; clean shirt-cuff visible. No visible chest pocket — distinguishes from TOP-11.,"Worn photo (Img 158, Img 162) — ground truth","Cotton poplin (crisp, slight body)",Light-mid,No,Medium,"Smooth poplin, crisp hand",4,"clean, minimal, cosmopolitan, designer-dev, editorial","office, date night (upscale), restaurant, party",Base / under blazer or jacket,All-season (Bangalore),32,Good,Regular,Neutral,White is high-contrast against warm Indian skin — flattering; can wash out slightly in very bright direct sun,No,High,5,Supporting (the dress-shirt foundation under tailoring),Medium,,,,,,
TOP-42,WhatsApp Image 2026-05-20 at 6.27.42 PM.jpeg | WhatsApp Image 2026-05-20 at 6.27.43 PM (2).jpeg,"Img 159 (worn open over white shirt) | Img 161 (worn open, fuller view, button rows visible)",Jacket,Oversized black double-breasted blazer with peak lapels and flap pockets,Unidentified,Black (solid),—,Solid,Oversized / relaxed,,Long-sleeve,Oversized through shoulders and torso (intentionally relaxed tailoring); falls below hip; double-breasted button placket sits cleanly closed or worn open as in photos,Peak lapel (with notched detail),Worn open over a white dress shirt in both photos; structured shoulders hold shape; double-breasted button configuration visible in Img 161; sleeve falls to wrist,"Worn photo (Img 159, Img 161) — ground truth","Heavy wool blend or wool-poly suiting (structured, holds shape)",Heavy,No,Low,Smooth wool-suit weave with structured body; visible suit-cloth surface,4-5,"cosmopolitan, editorial, designer-dev, sharp, formal-leaning","office (formal), date night (upscale), party, restaurant (upscale)",Outer (formal layer over dress shirt),"Monsoon, winter (Bangalore); cooler evenings; AC environments",24,Good,Occasional (statement formal piece),Cool,Black is high-contrast against warm Indian skin — flattering; the oversized cut makes it editorial rather than corporate,No,High,3,Star (oversized double-breasted is the focal point),High,,,,,,
TOP-43,WhatsApp Image 2026-05-20 at 6.27.43 PM (1).jpeg,Img 160 (worn front),Shirt,Short-sleeve button-up shirt with Greek-key (meander) all-over print,Unidentified,Black (ground),Cream / off-white (Greek-key meander pattern),Greek-key / meander (geometric repeating maze-like pattern across entire garment),Relaxed,,Short-sleeve,Relaxed straight; hem at upper hip; sleeves sit mid-bicep,Point collar (small),Worn photo shows relaxed-not-oversized fit on athletic frame; drapes cleanly; the busy geometric print carries the visual interest,Worn photo (Img 160) — ground truth,"Cotton or cotton-rayon blend (mid weight, slight drape)",Mid,No,Medium,"Smooth woven, print sits flat on fabric",2-3,"designer-dev, editorial, bold, statement, cosmopolitan, Goa/hippie","date night (casual), party, restaurant, brunch, casual hangout, beach/Goa",Base / open as outer,"Summer, monsoon (Bangalore)",34,Good,Regular,Cool-neutral,Black-and-cream high-contrast print works well against warm Indian skin; the cream component is small enough not to wash out,No,High,2,Star (loud geometric print is the focal point),High,,,,,,
TOP-44,WhatsApp Image 2026-05-20 at 6.27.44 PM (1).jpeg | WhatsApp Image 2026-05-20 at 6.27.44 PM.jpeg,Img 163 (worn back) | Img 164 (worn front),T-Shirt,Short-sleeve graphic tee with large back illustration + small chest graphic,Unidentified,Charcoal / warm dark grey (mild fade),Red / off-white / orange (graphic colors),Graphic — small left-chest (red hand-print outline + text) + large back illustration (anime/manga-style figure in red-bordered frame),Relaxed,,Short-sleeve,Relaxed straight; hem at upper hip; sleeves sit mid-bicep,Crew,Worn photos show relaxed fit on athletic frame; falls cleanly without clinging; back graphic centered between shoulder blades,"Worn photo (Img 163 back, Img 164 front) — ground truth",Cotton jersey,Mid,Slight,Medium-high,Smooth jersey with mild fade in the charcoal ground,1-2,"designer-dev, street, grunge, bold, statement, Goa/hippie","casual hangout, boys night, concert, travel day",Base,All-season (Bangalore),38,Worn (mild fade in ground color),Regular,Cool-warm,Charcoal works well against warm Indian skin; the red graphic accent adds visible contrast without overwhelming,No,Medium-high,2,Star (back graphic is the focal point; works best worn untucked so the print is uninterrupted),High,,,,,,
TOP-45,WhatsApp Image 2026-05-20 at 6.27.45 PM.jpeg,Img 165 (worn front),T-Shirt,Oversized short-sleeve graphic tee — artist-attribution 'tiger' print,Unidentified (mirror text reads as 'Unknown Artist / 2022...' — artist-collaboration piece),Teal / deep teal blue,White / cream (tiger illustration),Graphic — large centered white striped-tiger illustration with title text at top and artist attribution at bottom,Oversized,,Short-sleeve,Drop-shoulder boxy oversized; hem falls past hip; sleeves sit at the bicep with extra room,Crew,Worn photo shows clearly oversized fit on athletic frame; drop-shoulder seam visible at upper arm; falls cleanly without clinging,Worn photo (Img 165) — ground truth,Cotton jersey (mid-weight),Mid,Slight,Medium-high,Smooth jersey,2,"designer-dev, editorial, artisan, bold, statement, Goa/hippie","casual hangout, brunch, travel day, beach/Goa, concert, casual office (creative-startup)",Base,All-season (Bangalore),38,Good,Regular,Cool,Teal is a jewel-tone that flatters warm Indian skin (good cool/warm balance); the white tiger illustration provides high contrast,No,High,3,Star (large tiger illustration is the focal point),High,,,,,,
BOT-15,chat_upload_cream_linen_drawstring_pants.jpeg,"Img 166 (worn front, from chat)",Bottoms,Drawstring linen pants,<FILL FROM OTHER SOURCES>,Off-white / cream,—,Solid,Relaxed / wide,Mid (elastic + drawstring waistband),Full length / ankle,Relaxed straight,,Fabric drapes loosely through the leg; visible natural linen wrinkling throughout; side slits at hem; drawstring sits flat at front. Relaxed and breezy silhouette — reads resort/beach rather than structured.,Worn photo,"Likely linen or linen-cotton blend (visible woven texture, natural wrinkling)",Light,None,High,Textured (linen weave),1,"resort, coastal, boho, beach, relaxed, minimal","beach/Goa, casual hangout, boys night",Outer,Summer,42,Good,Occasional,Warm,Cream/off-white sits close to warm Indian skin — needs a strong-contrast top to anchor the look and prevent the lower half from disappearing visually,YES,Low,2,Base / relaxed foundation,Medium-high (wide relaxed silhouette),,,,,,Active
