Image Number,Image Filename,Description,Image Type,Mapped Item ID(s),Notes
Img 88,WhatsApp Image 2026-05-18 at 12.16.20 AM (1).jpeg,Waist-up close-up — same TOP-04 + BOT-11 outfit; clear view of acid-wash texture and trouser drape at waist,Outfit shot,"TOP-04, BOT-11",Detail shot for TOP-04 acid-wash surface and BOT-11 waist pleating
Img 89,WhatsApp Image 2026-05-18 at 12.16.21 AM (1).jpeg,"Worn close-up — Zara cream linen short-sleeve open V-neck band-collar shirt (TOP-22, NEW); bottom shows olive/khaki fabric consistent with BOT-11 wide-leg trousers continuing from the same session",Outfit shot,"TOP-22, BOT-11",First worn photo for new item TOP-22. Bottom partially visible — mapped to BOT-11 based on session continuity and visible olive fabric drape.
Img 90,WhatsApp Image 2026-05-18 at 12.16.25 AM (1).jpeg,Full-body mirror selfie — white long-sleeve button-up shirt with single chest pocket and point/button-down collar worn with full-length black fabric trousers (not denim),Worn photo,"TOP-11, BOT-10","TENTATIVE mappings flagged in observations: shirt resembles TOP-11 (cream long-sleeve button-up) but reads pure-white here, may be a separate shirt; trousers tentatively BOT-10 (black wide-leg) but the silhouette reads slightly less wide than BOT-10's prior worn photos."
Img 91,WhatsApp Image 2026-05-18 at 12.16.26 AM (1).jpeg,Flat lay on a floral-printed bedspread of TWO shirts: top is the Zara cream linen short-sleeve open V-neck shirt (TOP-22) with the Zara neck label clearly visible; bottom (partially visible at the lower edge) is a white mandarin/band-collar shirt that is NOT clearly any existing cataloged item,Flat lay,TOP-22,Brand confirmation for TOP-22 (Zara label readable). The partially-visible bottom shirt may be a new uncataloged item — flagged in observations for re-photo.
Img 92,WhatsApp Image 2026-05-18 at 12.16.26 AM (2).jpeg,Worn close-up — solid white mandarin/band-collar long-sleeve button-up shirt with single chest pocket; relaxed fit on athletic frame,Worn photo,TOP-27,"NEW ITEM — solid white mandarin collar shirt. Matches the partially-visible shirt flagged in Img 91 observations. | Manual review cleanup 2026-05-19 00:45:10: removed invalid item mapping(s) TOP-23 | Batch 13 (2026-05-21): mapped to new TOP-27 (white mandarin/band-collar long-sleeve, chest pocket)"
Img 93,WhatsApp Image 2026-05-18 at 12.16.26 AM.jpeg,Full-body mirror selfie — cream boxy V-neck linen shirt (TOP-22) worn with black wide-leg trousers (BOT-10); barefoot on patterned rug,Worn photo,"TOP-22, BOT-10",Additional worn angle for TOP-22; confirms boxy silhouette and drape. Black trousers consistent with BOT-10.
Img 94,WhatsApp Image 2026-05-18 at 12.16.27 AM (1).jpeg,Worn close-up torso — same cream V-neck boxy linen shirt (TOP-22) with black trousers visible at waist,Worn photo,TOP-22,Detail shot of TOP-22 V-neck opening and linen texture
Img 95,WhatsApp Image 2026-05-18 at 12.16.27 AM.jpeg,"Worn close-up torso — deep indigo/navy botanical-print shirt with cream leaves, red berries/flowers, and green foliage motifs; mandarin collar; sleeves rolled to 3/4",Worn photo,TOP-02,"FIRST WORN PHOTO for TOP-02. Confirms: mandarin/band collar, bold tropical/botanical print with tigers/leaves, relaxed fit. Previously only folded flat lay (Img 2)."
Img 96,WhatsApp Image 2026-05-18 at 12.16.28 AM (1).jpeg,Full-body mirror selfie — same indigo botanical-print shirt (TOP-02) worn with black wide-leg trousers; barefoot,Worn photo,"TOP-02, BOT-10","Full-length ground truth for TOP-02 fit and silhouette. Shows hem sits at hip, relaxed through torso."
Img 97,WhatsApp Image 2026-05-18 at 12.16.28 AM (2).jpeg,Worn close-up torso — cream/off-white shirt with olive/dark-green abstract serpentine/squiggly dotted-swirl pattern; mandarin collar; long sleeves; chest pocket with contrasting edge stitching,Worn photo,TOP-24,NEW ITEM — block-print style abstract pattern shirt. Distinctive serpentine/organic motif.
Img 98,WhatsApp Image 2026-05-18 at 12.16.28 AM.jpeg,"Worn 3/4 body — same indigo botanical-print shirt (TOP-02) with black trousers, slightly different angle from Img 96",Worn photo,"TOP-02, BOT-10",Additional worn angle for TOP-02
Img 99,WhatsApp Image 2026-05-18 at 12.16.29 AM (1).jpeg,Full-body mirror selfie — cream serpentine-print shirt (TOP-24) worn with black wide-leg trousers; barefoot,Worn photo,"TOP-24, BOT-10",Full-length ground truth for TOP-24
Img 100,WhatsApp Image 2026-05-18 at 12.16.29 AM.jpeg,"Full-body mirror selfie — same cream serpentine-print shirt (TOP-24) with black trousers, slightly different angle",Worn photo,"TOP-24, BOT-10",Additional worn angle for TOP-24
Img 101,WhatsApp Image 2026-05-18 at 12.16.30 AM (1).jpeg,Worn close-up — cream serpentine-print shirt (TOP-24) pattern and pocket detail,Worn photo,TOP-24,Detail shot showing abstract serpentine print texture and chest pocket construction with contrasting edge stitching
Img 102,WhatsApp Image 2026-05-18 at 12.16.30 AM.jpeg,Full-body mirror selfie — charcoal short-sleeve shirt with large cream quatrefoil/clover print and yellow/gold contrast trim at collar and cuffs; worn with black wide-leg trousers; barefoot,Worn photo,"TOP-25, BOT-10",NEW ITEM — bold printed shirt with contrast trim. First worn photo.
Img 103,WhatsApp Image 2026-05-18 at 12.16.31 AM (1).jpeg,Worn close-up torso — same charcoal quatrefoil-print shirt (TOP-25); clear view of large cream clover motifs on charcoal base with yellow/gold piping at mandarin collar and sleeve cuffs,Worn photo,TOP-25,Best detail shot of TOP-25 pattern and contrast trim
Img 104,WhatsApp Image 2026-05-18 at 12.16.31 AM (2).jpeg,Worn close-up torso — same charcoal quatrefoil-print shirt (TOP-25) from slightly different angle; shows pattern at waist level and hem,Worn photo,TOP-25,Additional detail angle for TOP-25
Img 105,WhatsApp Image 2026-05-18 at 12.16.32 AM (1).jpeg,Flat lay on floral bedspread — white crew-neck T-shirt shown from back/neck label side; XL size label clearly visible with brand text partially legible,Flat lay,,TENTATIVE mapping to TOP-01. XL size visible. Brand text near label not fully legible — may confirm or contradict Calvin Klein identification from Img 1. Physical check needed. | Manual review cleanup 2026-05-19 00:26:45: removed WhatsApp Image 2026-05-18 at 12.16.32 AM (1).jpeg from TOP-01
Img 106,WhatsApp Image 2026-05-18 at 12.16.33 AM (1).jpeg,Full-body mirror selfie — white crew-neck T-shirt worn with black wide-leg trousers; barefoot,Worn photo,BOT-10,FIRST WORN PHOTO for TOP-01 (if confirmed as same item). Shows relaxed fit on athletic frame. | Manual review cleanup 2026-05-19 00:26:45: removed WhatsApp Image 2026-05-18 at 12.16.33 AM (1).jpeg from TOP-01
Img 107,WhatsApp Image 2026-05-18 at 12.16.33 AM (2).jpeg,Worn upper-body — same white crew-neck T-shirt closer view; clean relaxed fit visible,Worn photo,,Additional worn angle — waist-up detail | Manual review cleanup 2026-05-19 00:26:45: removed WhatsApp Image 2026-05-18 at 12.16.33 AM (2).jpeg from TOP-01
Img 108,WhatsApp Image 2026-05-18 at 12.16.33 AM.jpeg,Flat lay on floral bedspread — charcoal quatrefoil-print shirt (TOP-25) partially folded/crumpled; yellow collar trim clearly visible; white tee partially visible beside it,Flat lay,TOP-25,Flat lay of TOP-25; provides alternate view of pattern and construction
Img 109,WhatsApp Image 2026-05-18 at 12.16.34 AM (1).jpeg,Full-body mirror selfie — white crew-neck T-shirt with black trousers; further from mirror showing full silhouette including shoes area,Worn photo,BOT-10,Additional full-length worn angle for TOP-01 | Manual review cleanup 2026-05-19 00:26:45: removed WhatsApp Image 2026-05-18 at 12.16.34 AM (1).jpeg from TOP-01
Img 110,WhatsApp Image 2026-05-18 at 12.16.35 AM (1).jpeg,Full-body mirror selfie — light grey/stone heavyweight overshirt/shacket with spread collar and dual chest pockets worn open over white T-shirt; black wide-leg trousers; barefoot,Worn photo,"TOP-26, TOP-01, BOT-10",NEW ITEM — grey overshirt/shacket. First worn photo. Layered over TOP-01 (white tee visible underneath).
Img 111,WhatsApp Image 2026-05-18 at 12.16.36 AM (1).jpeg,"Worn close-up torso — same light grey overshirt (TOP-26); clear view of heavyweight cotton twill fabric, large buttons, dual symmetrical chest pockets, spread collar",Worn photo,TOP-26,Best detail shot of TOP-26 fabric and construction
Img 112,WhatsApp Image 2026-05-18 at 12.16.37 AM (1).jpeg,Worn close-up torso — light grey/stone heavyweight overshirt (TOP-26) worn buttoned; dual chest pockets and dark buttons visible; black trousers below,Worn photo,TOP-26,Additional worn angle of TOP-26 — buttoned view showing fabric weight and pocket construction
Img 113,WhatsApp Image 2026-05-18 at 12.16.38 AM (1).jpeg,"Worn torso — same grey overshirt (TOP-26) worn buttoned, wider frame showing full front with spread collar and dual chest pockets; black trousers below",Worn photo,TOP-26,Additional worn angle of TOP-26 — slightly wider framing than Img 112
Img 114,WhatsApp Image 2026-05-18 at 12.16.39 AM (1).jpeg,Flat lay on floral bedspread — grey overshirt (TOP-26) laid flat; dual chest pockets and dark buttons visible; small black brand label/tag visible at hem,Flat lay,TOP-26,First flat lay for TOP-26; small black woven label visible at lower hem — may aid brand identification
Img 115,WhatsApp Image 2026-05-18 at 12.16.39 AM.jpeg,Worn torso — grey overshirt (TOP-26) worn OPEN over white crew-neck tee (TOP-01); black trousers visible at waist,Worn photo,"TOP-26, TOP-01",Shows TOP-26 as a layering piece worn open — same styling as Img 110 but closer framing
Img 116,WhatsApp Image 2026-05-18 at 12.16.40 AM (1).jpeg,"Flat lay on floral bedspread — grey overshirt (TOP-26) laid flat, different orientation from Img 114; small black brand tag visible at hem",Flat lay,TOP-26,Second flat lay angle for TOP-26; confirms construction details
Img 117,WhatsApp Image 2026-05-18 at 12.16.41 AM.jpeg,Full-body mirror selfie — light grey/taupe short-sleeve crew-neck knit sweater (TOP-15) worn with black wide-leg trousers; barefoot,Worn photo,BOT-10,First FULL-LENGTH worn photo for TOP-15 (previous Img 47 was front view only). Confirms knit texture and relaxed fit on athletic frame. Black trousers consistent with BOT-10. | Manual review cleanup 2026-05-19 15:37:07: removed invalid item mapping(s) TOP-15
Img 118,WhatsApp Image 2026-05-18 at 12.16.42 AM.jpeg,Full-body mirror selfie — same grey knit sweater (TOP-15) with black wide-leg trousers; slightly different angle/distance from Img 117,Worn photo,BOT-10,Additional worn angle for TOP-15; shows how the knit fabric drapes and how sleeves sit at mid-bicep | Manual review cleanup 2026-05-19 15:37:07: removed invalid item mapping(s) TOP-15
Img 119,WhatsApp Image 2026-05-18 at 12.17.08 AM (1).jpeg,Flat lay top-down — white and olive/khaki Comet brand low-top sneakers on marble floor; Comet branding visible on tongue and insole,Flat lay,SHO-02,Additional angle of SHO-02 from top-down (previous Img 52 was back view only). Shows white leather toe box with olive/khaki mudguard and green collar lining.
Img 120,WhatsApp Image 2026-05-18 at 12.17.09 AM (1).jpeg,Flat lay top-down — same white/olive Comet sneakers (SHO-02) from slightly further away on marble floor,Flat lay,SHO-02,Additional top-down angle of SHO-02
Img 121,WhatsApp Image 2026-05-18 at 12.17.10 AM (1).jpeg,Flat lay top-down — all-black Nike Air Force 1 low-top sneakers on marble floor; AF1 lace tag and NIKE AIR tongue branding visible,Flat lay,SHO-04,NEW ITEM — all-black Nike AF1 low-tops. First and only photo.
Img 122,WhatsApp Image 2026-05-18 at 12.17.10 AM.jpeg,Flat lay top-down — black dual-buckle slide sandals (Birkenstock Arizona style) on marble floor; two adjustable buckle straps visible; molded footbed; person's bare foot visible at top-right edge,Flat lay,SHO-05,NEW ITEM — black slide sandals. Only one photo available (top-down). Birkenstock-style but brand not fully confirmed from photo — small embossed markings on footbed may be legible upon physical inspection.
Img 123,WhatsApp Image 2026-05-20 at 6.27.31 PM.jpeg,Olive/pistachio suede low-top sneakers — heel/back view held in hand; sole detail visible; possible 'DC' stamp on heel cap,Shoe,SHOE-06,Heel/back angle; possible DC Shoes logo on heel cap — flag for user verification
Img 124,WhatsApp Image 2026-05-20 at 6.27.32 PM (1).jpeg,"Olive/pistachio suede low-top sneakers — top view showing laces, suede texture, white insoles",Shoe,SHOE-06,Best top-down view of suede grain and lacing
Img 125,WhatsApp Image 2026-05-20 at 6.27.32 PM.jpeg,Worn side/back view of cream/warm beige slim-straight cotton chinos; visible welt back pocket with button closure,Worn photo,BOT-14,Back welt-pocket detail; first worn photo for BOT-14
Img 126,WhatsApp Image 2026-05-20 at 6.27.33 PM (1).jpeg,Worn front of heather grey marled flannel long-sleeve button-up with single chest pocket and white buttons; sleeves rolled,Worn photo,TOP-27,Sleeves rolled; clear chest-pocket + button detail
Img 127,WhatsApp Image 2026-05-20 at 6.27.33 PM (2).jpeg,Worn front of black 'TOOL' band short-sleeve graphic tee with white fish/skeleton-style logo; relaxed/oversized fit,Worn photo,TOP-28,First worn photo for TOP-28 (TOOL band tee)
Img 128,WhatsApp Image 2026-05-20 at 6.27.33 PM.jpeg,"Worn front view of same cream/warm beige slim chinos (BOT-14) showing front button-fly, belt loops, slight taper through leg",Worn photo,BOT-14,Front-view ground truth for BOT-14
Img 129,WhatsApp Image 2026-05-20 at 6.27.34 PM (1).jpeg,"Worn front of same TOOL band tee (TOP-28), slightly different angle showing fuller torso silhouette",Worn photo,TOP-28,Duplicate angle of Img 127; confirms relaxed fit on athletic frame
Img 130,WhatsApp Image 2026-05-20 at 6.27.34 PM (2).jpeg,"Worn front of same heather grey flannel (TOP-27); fuller view showing buttons, hem at upper hip",Worn photo,TOP-27,Duplicate angle of Img 126; confirms hem position
Img 131,WhatsApp Image 2026-05-20 at 6.27.34 PM.jpeg,Worn front of black 'A Perfect Circle' band short-sleeve graphic tee with cyan/teal octopus + gold moon-phase arc graphic; relaxed fit,Worn photo,TOP-29,First worn photo for TOP-29 (A Perfect Circle band tee)
Img 132,WhatsApp Image 2026-05-20 at 6.27.35 PM (1).jpeg,"Worn front of same A Perfect Circle band tee (TOP-29), slightly different angle/distance",Worn photo,TOP-29,Duplicate angle of Img 131
Img 133,WhatsApp Image 2026-05-20 at 6.27.35 PM.jpeg,Worn front of black short-sleeve graphic band tee 'MEGADETH' (Vic Rattlehead skull figure illustration on chest); relaxed/oversized fit,Worn photo,TOP-30,First worn photo for TOP-30 (Megadeth band tee)
Img 134,WhatsApp Image 2026-05-20 at 6.27.36 PM (1).jpeg,Worn front of navy acid-wash short-sleeve graphic band tee 'GOJIRA' (whale + spiral graphic on chest); relaxed/oversized fit,Worn photo,TOP-31,First worn photo for TOP-31 (Gojira band tee)
Img 135,WhatsApp Image 2026-05-20 at 6.27.36 PM (2).jpeg,Worn front of muted purple/lavender acid-wash oversized short-sleeve tee with small gold-yellow graphic on left chest (arched gateway + palm tree motif),Worn photo,TOP-32,First worn photo for TOP-32 (purple acid-wash tee)
Img 136,WhatsApp Image 2026-05-20 at 6.27.36 PM.jpeg,"Worn front of same GOJIRA navy acid-wash tee (TOP-31), slightly different angle showing more of the spiral graphic",Worn photo,TOP-31,Duplicate angle of Img 134; confirms acid-wash texture
Img 137,WhatsApp Image 2026-05-20 at 6.27.37 PM (1).jpeg,"Worn open over black turtleneck — black distressed cotton/denim chore jacket with single left chest pocket, point collar, raw fringed/unfinished hem",Worn photo,TOP-33,First worn photo for TOP-33; distinctive raw frayed hem; oversized boxy fit
Img 138,WhatsApp Image 2026-05-20 at 6.27.37 PM (2).jpeg,Worn front of charcoal/dark grey acid-wash short-sleeve graphic tee with cream-yellow postal-stamp style graphic on left chest reading 'CARGO BAY'; relaxed fit,Worn photo,TOP-34,First worn photo for TOP-34 (CARGO BAY postal-stamp graphic)
Img 139,WhatsApp Image 2026-05-20 at 6.27.37 PM (3).jpeg,Worn front of same CARGO BAY charcoal acid-wash tee (TOP-34); slightly different angle showing fuller torso,Worn photo,TOP-34,Duplicate angle of Img 138; confirms acid-wash texture
Img 140,WhatsApp Image 2026-05-20 at 6.27.37 PM.jpeg,Worn front of same purple acid-wash tee (TOP-32); slightly different framing — shows oversized drop-shoulder silhouette and hem,Worn photo,TOP-32,Duplicate angle of Img 135; confirms oversized fit
Img 141,WhatsApp Image 2026-05-20 at 6.27.38 PM (1).jpeg,"Worn open over black tee — cream/off-white cotton drill chore jacket with hand-applied artisan appliqué: olive-green palm-tree-like motif on left chest, navy/black abstract serpentine accent on right side, white sherpa/fleece patch detail; point collar, button placket",Worn photo,TOP-35,First worn photo for TOP-35; one-of-a-kind designer/artisan piece
Img 142,WhatsApp Image 2026-05-20 at 6.27.38 PM (2).jpeg,"Worn open over black tee — heavyweight multicolor plaid (red/yellow/green/black checker) flannel long-sleeve overshirt with chest pocket, point collar; CPO/shacket style",Worn photo,TOP-36,First worn photo for TOP-36; classic plaid CPO/shacket
Img 143,WhatsApp Image 2026-05-20 at 6.27.38 PM (3).jpeg,Worn open over black turtleneck — same black distressed chore jacket (TOP-33) with raw fringed hem; slightly different angle,Worn photo,TOP-33,Duplicate angle of Img 137; clear fringed-hem detail
Img 144,WhatsApp Image 2026-05-20 at 6.27.38 PM.jpeg,"Worn open over black turtleneck — same black distressed chore jacket (TOP-33); fuller torso view, hem visible",Worn photo,TOP-33,Duplicate angle of Img 137; confirms oversized boxy fit
Img 145,WhatsApp Image 2026-05-20 at 6.27.39 PM (1).jpeg,"Worn buttoned — cream/ivory cotton crochet/lace open-knit shirt-jacket with point collar, button placket; relaxed fit; over black trousers",Worn photo,TOP-37,First worn photo for TOP-37 (cream crochet shirt-jacket)
Img 146,WhatsApp Image 2026-05-20 at 6.27.39 PM (2).jpeg,Worn open over black tee — same cream applique chore jacket (TOP-35); slightly different angle showing fuller torso and appliqué placement,Worn photo,TOP-35,Duplicate angle of Img 141; confirms appliqué positions
Img 147,WhatsApp Image 2026-05-20 at 6.27.39 PM.jpeg,"Worn buttoned — same cream crochet/lace shirt-jacket (TOP-37); alternative angle, full torso",Worn photo,TOP-37,Duplicate angle of Img 145
Img 148,WhatsApp Image 2026-05-20 at 6.27.40 PM (1).jpeg,"Worn buttoned — same cream crochet/lace shirt-jacket (TOP-37); slight side-front angle, clear view of open-weave/lace pattern",Worn photo,TOP-37,Duplicate angle of Img 145; best view of crochet texture
Img 149,WhatsApp Image 2026-05-20 at 6.27.40 PM (2).jpeg,"Worn front — black long-sleeve button-up shirt with single left chest pocket, point collar, white buttons; sleeves rolled to elbow",Worn photo,TOP-38,First worn photo for TOP-38 (black long-sleeve button-up)
Img 150,WhatsApp Image 2026-05-20 at 6.27.40 PM (3).jpeg,"Worn front — basic black short-sleeve crew-neck tee, relaxed/slightly-oversized fit, solid (no graphic)",Worn photo,TOP-39,First worn photo for TOP-39 (basic black crew tee)
Img 151,WhatsApp Image 2026-05-20 at 6.27.40 PM.jpeg,Worn open over black tee — same cream crochet/lace shirt-jacket (TOP-37); shows worn-open drape from collar to hem,Worn photo,TOP-37,Duplicate angle of Img 145; worn open this time
Img 152,WhatsApp Image 2026-05-20 at 6.27.41 PM (1).jpeg,Worn buttoned — same cream crochet/lace shirt-jacket (TOP-37); waist-up close-up,Worn photo,TOP-37,Duplicate angle of Img 145; close-up of weave
Img 153,WhatsApp Image 2026-05-20 at 6.27.41 PM (2).jpeg,"Worn front of same black long-sleeve button-up (TOP-38) with single left chest pocket; unbuttoned at neck, sleeves rolled to forearm",Worn photo,TOP-38,Duplicate angle of Img 149; shows shirt with collar more open
Img 154,WhatsApp Image 2026-05-20 at 6.27.41 PM (3).jpeg,Worn front of black long-sleeve shirt with mandarin/band collar (no traditional point collar); concealed/half placket; sleeves rolled to forearm,Worn photo,TOP-40,First worn photo for TOP-40 (black mandarin-collar long-sleeve)
Img 155,WhatsApp Image 2026-05-20 at 6.27.41 PM.jpeg,Worn front of same black mandarin-collar long-sleeve (TOP-40); slightly different angle; clear view of band collar,Worn photo,TOP-40,Duplicate angle of Img 154; clearest collar detail
Img 156,WhatsApp Image 2026-05-20 at 6.27.42 PM (1).jpeg,Worn open over a black inner layer — same black mandarin-collar long-sleeve (TOP-40); shows draped open silhouette,Worn photo,TOP-40,Duplicate angle; worn unbuttoned to show layering potential
Img 157,WhatsApp Image 2026-05-20 at 6.27.42 PM (2).jpeg,"Worn open over a black inner layer — same TOP-40 mandarin-collar shirt; another angle, fuller torso",Worn photo,TOP-40,Duplicate angle of Img 156
Img 158,WhatsApp Image 2026-05-20 at 6.27.42 PM (3).jpeg,Worn front of crisp white long-sleeve dress shirt with point collar (no visible chest pocket); slim/regular fit; sleeves rolled to forearm,Worn photo,TOP-41,First worn photo for TOP-41 (white point-collar dress shirt). Distinct from TOP-11 (button-down collar with chest pocket)
Img 159,WhatsApp Image 2026-05-20 at 6.27.42 PM.jpeg,Worn open over white inner shirt — black oversized double-breasted blazer with peak/notch lapels; visible front flap pocket on left; structured shoulder,Worn photo,TOP-42,First worn photo for TOP-42 (black oversized double-breasted blazer)
Img 160,WhatsApp Image 2026-05-20 at 6.27.43 PM (1).jpeg,Worn front of black short-sleeve button-up shirt with all-over cream/off-white Greek-key (meander) repeating geometric pattern; relaxed fit; point collar,Worn photo,TOP-43,First worn photo for TOP-43 (Greek-key print short-sleeve shirt)
Img 161,WhatsApp Image 2026-05-20 at 6.27.43 PM (2).jpeg,Worn open over white inner shirt — same black oversized double-breasted blazer (TOP-42); fuller torso view with both rows of buttons visible,Worn photo,TOP-42,Duplicate angle of Img 159; clearest view of double-breasted button configuration
Img 162,WhatsApp Image 2026-05-20 at 6.27.43 PM.jpeg,Worn front of same white point-collar dress shirt (TOP-41); slightly closer angle showing clean drape and button placket,Worn photo,TOP-41,Duplicate angle of Img 158
Img 163,WhatsApp Image 2026-05-20 at 6.27.44 PM (1).jpeg,Worn back view of charcoal/dark grey short-sleeve graphic tee with large illustration on back (anime/manga style figure in red-bordered rectangular frame with text at top),Worn photo,TOP-44,First worn photo for TOP-44 — back graphic is the focal print
Img 164,WhatsApp Image 2026-05-20 at 6.27.44 PM.jpeg,Worn front view of same charcoal/dark grey graphic tee (TOP-44); small left-chest graphic — red hand-print outline + text below; relaxed fit,Worn photo,TOP-44,Front view of TOP-44; confirms small chest graphic alongside the large back print
Img 165,WhatsApp Image 2026-05-20 at 6.27.45 PM.jpeg,Worn front view of teal/dark-teal oversized short-sleeve graphic tee with large white striped-tiger illustration centered on chest; small mirror-text reads as title at top and 'Unknown Artist / 2022...' style artist attribution at bottom,Worn photo,TOP-45,"First worn photo for TOP-45 (teal tiger graphic tee, looks like an artist-collaboration piece)"
Img 166,chat_upload_cream_linen_drawstring_pants.jpeg,"Cream/off-white linen drawstring pants, worn front view, mirror selfie",Worn front,BOT-15,
