Item ID,Image(s),Category,Observation Type,Detail,Action Needed
TOP-01,Img 1,T-Shirt,Brand identification,Faint chest text visible on the white tee - possible Calvin Klein logo but photo resolution insufficient to confirm. Brand currently logged as 'Possibly Calvin Klein'.,Confirm brand by checking the physical garment (inner neck tag or chest embroidery)
TOP-01,Img 1,T-Shirt,Condition,"A small mid-chest mark is visible - could be a stain, a shadow from creasing, or print fading. Cannot distinguish from photo.","Inspect physically - if a stain, may need cleaning before next wear"
TOP-01,Img 1,T-Shirt,Fit verification,No worn photo available. Flat lay reads boxy/relaxed but on an athletic 6'0 frame this could fall as a clean regular fit.,Worn photo would resolve fit ambiguity
TOP-02,Img 2,Shirt,Item identification,"Garment is folded/bunched in the only available photo. Cannot determine: garment type (camp collar shirt vs short-sleeve printed shirt vs tee), fit, length, silhouette, neckline, sleeve construction, condition.",Re-photograph this item laid flat AND with a worn shot - currently the lowest-fidelity entry in the catalog
TOP-02,Img 2,Shirt,Color/print accuracy,Print includes what appear to be tigers + foliage + small floral elements - but folded state may be obscuring the full motif.,Flat-lay re-photo will confirm full pattern
TOP-03,Img 3 and Img 4,Sweater,Possible duplicate,Img 3 and Img 4 appear to show the SAME open-knit grey mock-neck sweater at slightly different orientations. Merged into TOP-03. Confirm this is correct - not two near-identical sweaters.,"Visually verify only one such sweater exists, or split into TOP-03a / TOP-03b if there are two"
TOP-03,Img 3 and Img 4,Sweater,Fit verification,No worn photo. Open-knit drop-shoulder sweaters often look very boxy flat but sit relaxed on an athletic frame. Cannot confirm whether 'relaxed' here means 'oversized' or 'tailored relaxed'.,Worn photo required to lock in fit/silhouette
TOP-04,Img 5,T-Shirt,Brand identification,Chest graphic style suggests a festival/eco/nature brand (possible 'Wild Earth' text visible) but the print is small and partially faded by acid wash. Logged as Unidentified.,Confirm brand from neck tag
TOP-04,Img 5,T-Shirt,Condition,"The garment shows fading/mottling consistent with intentional acid-wash treatment, but it's hard to distinguish design wash from genuine wear in this photo. May or may not be a heavily-worn item.",Physical inspection to differentiate design vs genuine wear
TOP-05,Img 6,T-Shirt,Brand identification,Neck label typography resembles H&M but is not fully legible. Logged as 'Possibly H&M'.,Confirm from physical neck tag
TOP-05,Img 6,T-Shirt,Skin tone caution,Warm sand/beige sits very close to a light brown complexion. This piece carries a real risk of disappearing into the skin tone in photos and in low light - flagged in the catalog. Recommend pairing logic later should account for high-contrast bottoms and accessories.,No action - flag is for downstream pairing decisions
BOT-01,Img 8,Trousers,Skin tone caution,"Warm khaki/tan trousers sit close to a light brown skin tone. Less risky than a beige top (the legs are usually further from the face), but still flagged - certain shoe/top pairings could create a single warm-neutral block that visually mutes the outfit.",No action - flag is for downstream pairing decisions
BOT-01,Img 8,Trousers,Fit verification,No worn photo. Wide-leg pleated trousers can read as deliberately oversized-cool OR as ill-fitting-frumpy depending on rise sit and where the leg breaks on the shoe. Cannot tell from flat lay.,Worn photo needed - especially showing the hem break
BOT-02,Img 9,Trousers,Brand identification,Hangtag visible at waistband but text not legible in photo. New with tags.,"Read the hangtag - the brand is right there, just unreadable in the photo"
BOT-02,Img 9,Trousers,Fit verification,No worn photo. Same uncertainty as BOT-01 regarding hem break and rise sit.,Try on and capture a worn photo before logging fit confidence
GENERAL,Batch 1 (Img 1-10),—,Photography pattern,Every item in this batch is a flat lay. No worn photos exist for any of the 9 unique items. All fit/silhouette/drape data is provisional and must be confirmed with worn photos before pairing logic is built in Pass 2.,Recommend a separate worn-photo shoot for items that survive triage
TOP-07,Img 11,Shirt,Brand identification,Small inner-collar label is visible but text resolution is insufficient to identify the brand. Logged as 'Unidentified'.,Read the inner neck tag physically to confirm brand
TOP-07,Img 11,Shirt,Fabric ambiguity,Lightweight white fabric with visible texture - could be cotton poplin OR a cotton-linen blend. Cannot distinguish from photo alone.,Care label inspection would resolve fabric exactly
TOP-08,Img 12,Shirt,Fit verification,No worn photo available. American Eagle linen shirts often run boxy in flat lay but sit relaxed-regular on athletic frames.,Worn photo recommended to lock in fit confidence
BOT-04,"Img 19, Img 20",Trousers,Worn-photo data quality,"BOT-04 is the FIRST item in the catalog with worn-photo ground truth. Fit, silhouette, and drape fields are now high-confidence rather than provisional flat-lay reads. All earlier entries (TOP-01 through BOT-03 + TOP-07, TOP-08) still need worn photos.",Prioritize capturing worn photos for the remaining items as you go
BOT-05,Img 14,Shorts,Condition - design vs wear,"Distressing at thighs is clearly intentional (clean rip placement, symmetrical-ish). However additional ambient wear/fading is possible on top of the design distressing - cannot fully separate the two from photo.",Physical inspection - mainly cosmetic question
BOT-06,Img 15,Shorts,Brand identification,"Inner waistband label shows partial text - '& Jones' fragment is readable, plus a separate 'REGULAR' fit indicator. Strong hint at Jack & Jones (or Selected by Jack & Jones) but not 100% confirmed.",Read the full inner label to confirm brand
BOT-06,Img 15,Shorts,Skin tone caution,"Warm sand/beige is close to a light brown skin tone. Below-the-waist, the risk of 'disappearing' is lower than a top (legs are further from the face), but the piece will still mute the outfit if paired with another warm-neutral on top. Flagged for downstream pairing logic.",No action - flag is for Pass 2 pairing decisions
BOT-07,Img 16,Shorts,Condition - factory wash vs genuine wear,Faded chambray look is consistent with both a stylistic light wash AND genuine wear over time. Affects how this piece reads (rugged-loved vs polished-casual).,Physical inspection - affects styling register
BOT-08,"Img 17, Img 18",Jeans,POSSIBLE DUPLICATE of BOT-03,"BOT-03 (flat lay, Img 10) is a faded black 'authentic' (Wrangler Authentics suspected) regular-fit jean with significant visible fading. BOT-08 (worn, Img 17 + 18) is darker overall with much less visible fading. Could be: (a) same jeans, different lighting; (b) two different black jeans; (c) BOT-03 is older/more-worn and BOT-08 is a newer rotation pair. Cannot resolve from photos.","PHYSICAL CHECK NEEDED - hold both jeans side by side. If same, merge BOT-08 into BOT-03 and update Image References. If different, keep separate."
BOT-08,"Img 17, Img 18",Jeans,Brand identification,Small leather/PU patch at back-right waist visible but logo not readable.,Inspect the back patch physically
BOT-09,Img 21,Jeans,Brand identification,Brand is unidentified. Possible markings on waistband in worn photo but not legible.,Inspect physical waistband tag to confirm brand
BOT-10,"Img 22, 23",Trousers,Possible duplicate check,BOT-10 (black wide-leg trousers from worn shots) may be similar to existing BOT-02 if similar brands/fabrics. Visual comparison needed.,Compare BOT-02 (flat lay) with BOT-10 (worn) to confirm they are different items or merge if identical
BATCH-02,Img 21-52 (partial),Multiple,Incomplete coverage,"This batch covers selective items from the 102 unprocessed images (approximately 30-35 images cataloged). Remaining 65-70 images contain additional items, repeat angles, and flat lays that are part of existing items.","Review remaining unprocessed images to identify any NEW distinct items not yet captured. Most remaining images are likely duplicate angles, flat lays, or outfit combinations of already-cataloged pieces."
BATCH-FINAL,Img 21-60 (approx.),Multiple,Batch 02 completion status,"Batch 1 added 10 catalog items (BOT-09 through TOP-13, Img 21-41). Batch 2 (this batch) adds TOP-14 to TOP-15 (Img 42-60). Remaining ~40-50 images from the 102 unprocessed are likely: (a) duplicate angles of already-cataloged items, (b) flat lays of items shown in worn photos, (c) outfit combinations, (d) possibly a few additional tops or bottoms not yet reviewed.","After this batch, recommend viewing remaining 40-50 unprocessed images to identify any additional NEW distinct items. Many will be duplicate angles or flat lays of already-cataloged pieces."
BATCH-02-COMPLETION,Img 1-60+ (partial of 122 total),Multiple,"Pass 1, Batch 02 completion summary","Total items cataloged across Batches 1-3: 30 unique items (BOT-01 through BOT-13, TOP-01 through TOP-17). Approximately 47 image mappings recorded. Remaining ~55 unprocessed images from the 102 are expected to be: (a) duplicate angles of already-cataloged items, (b) flat lays of worn-photo items, (c) outfit combinations.","Recommend final pass through remaining 55 images to confirm no additional DISTINCT items exist, then consolidate all outfit shots into FIT-XX category"
WARDROBE-GAPS,All batches,Multiple,Styling observations - missing categories,"Observations from current Pass 1: (1) No formal shoes/loafers cataloged yet (items reviewed are all tops/bottoms/casual wears). (2) No jackets beyond casual overshirts. (3) Limited formal dress pieces (mostly office casual). (4) No accessories visible. (5) Color palette: warm earth tones (olives, tans, creams) + cool darks (navy, black) + grey neutrals. Strong coordination around these.  (6) Fit tendency: athletic frame suited to tapered/slim-straight cuts; several relaxed fits work because of quality fabrics. (7) Occasions covered: mostly casual hangout/brunch/office casual/date night casual. Less coverage for upscale date/formal party.","After complete inventory, review for styling gaps per user's stated occasions (office/date nights/parties/restaurants/boys hangouts). Identify pieces that could complement the existing wardrobe."
SHOES-CATEGORY,Img 51 to 53,Shoes,Shoes identified in Pass 1,"Three shoe types cataloged: (1) Cream canvas high-tops (SHO-01) - street/casual wear, (2) Tan/white color-block low-tops (SHO-02) - street/casual/warm weather, (3) Cream slippers (SHO-03) - home wear only. No formal shoes (loafers, oxfords, dress shoes) identified yet.",Consider adding formal footwear for office/upscale date nights/parties to complete wardrobe coverage
TOP-07,Img 56-62,Shirt,Worn photo coverage (RESOLVED),TOP-07 flat lay (Img 11) now has ground-truth worn photo evidence (Imgs 56-62). Multiple angles show the mandarin collar shirt with the indigo dot pattern. Fits true to relaxed read - sits well on athletic frame.,Catalog fit/drape now validated by worn photos
TOP-20,Img 68-73,Shirt,Olive shirt ground truth,TOP-20 is an olive-green short-sleeve button-up with mandarin collar. Worn photos (Img 68-73) show relaxed fit that suits athletic frame well. Color is a warm olive that complements warm Indian complexion excellently.,Worn photo ground truth confirmed
BOT-06,"Img 74, Img 75, Img 76, Img 77, Img 78",Shorts,Worn photos now available,"BOT-06 was previously flat-lay only (Img 15). Five worn photos from this batch confirm shape: regular fit, mid-rise, above-knee length, straight silhouette. Fabric has subtle linen-look texture confirmed. DAMENSCH label visible in Img 78 is underwear waistband, not shorts brand — BOT-06 brand remains possibly Jack & Jones / Selected.",User to physically check label on sand chino shorts to confirm if Jack & Jones / Selected — flag from original Img 15 still open
TOP-20,"Img 74, Img 75",Shirt,Additional worn angles added,Two new worn images (12.15.12–13 AM) merged into TOP-20 — taken 1 second after the original session (last was 12.15.11 AM). Continuation of same outfit photo set.,No action — confirms existing data
TOP-21,"Img 79, Img 81",T-Shirt,Skin tone note,Honey gold / warm amber is NOT in the caution zone (beige/sand/tan/pastel yellow). The saturation and warmth of this color provides visible contrast against light brown skin. No caution flag raised.,No action — flag is for downstream pairing decisions
TOP-22,"Img 89, Img 91",Shirt,New item identified — Zara linen V-neck shirt,New TOP-22 added: Zara-branded cream/off-white open V-neck band-collar short-sleeve linen shirt with a boxy/cropped cut. Brand confirmed from neck label visible in Img 91 flat lay. Worn photo (Img 89) shows boxy drape across shoulders and a hem that sits at the natural waist. Skin-tone caution flag set: cream/off-white risks washing out against light brown skin in soft lighting.,No action — flag is for downstream pairing decisions
TOP-04,"Img 87, Img 88",T-Shirt,Worn-photo coverage (RESOLVED),TOP-04 (faded indigo/blue acid-wash graphic tee with 'Wild Earth'-style arch/foliage chest graphic) now has worn-photo ground truth (Imgs 87-88). Confirms fit reads relaxed/oversized on athletic frame (more relaxed than the flat-lay-only entry implied) and confirms the acid-wash + graphic combination is the focal point. Previously flat-lay only (Img 5).,Fit/silhouette fields in catalog can be promoted from provisional flat-lay reading to ground-truth
BOT-11,"Img 83, Img 84, Img 85, Img 86, Img 87, Img 88, Img 89",Trousers,Additional worn-photo coverage across multiple outfits,"BOT-11 (olive-tan wide-leg pleated trousers) appears in 7 additional worn images this batch — paired with TOP-13 (cream crew tee, Imgs 83-86), TOP-04 (acid-wash graphic tee, Imgs 87-88), and TOP-22 (Zara cream linen V-neck, Img 89). All from the same session. Confirms drape and color are consistent across outfits.",No action — additional reference images
TOP-13,"Img 83, Img 84, Img 85, Img 86",T-Shirt,First worn-outfit coverage,TOP-13 (cream/off-white crew tee) now appears as a worn outfit with BOT-11 (olive-tan wide-leg trousers). Four worn images. Confirms fit reads relaxed on athletic frame. Skin-tone caution flag (existing) is borne out — the cream tee + warm olive trouser combination is a low-contrast warm-on-warm block; works in soft lighting but can mute the outfit.,"Downstream: when pairing TOP-13, prefer high-contrast bottoms (charcoal, black, indigo) over warm neutrals to avoid the wash-out risk"
TOP-11,Img 90,Shirt,POSSIBLE DUPLICATE or NEW similar shirt,"Img 90 shows a white long-sleeve button-up shirt with single chest pocket and point/button-down collar. Tentatively mapped to TOP-11 (cream/off-white long-sleeve button-up with chest pocket). However, the shirt in Img 90 reads as pure white whereas TOP-11 worn photos (Imgs 38-39) read clearly cream. Could be: (a) TOP-11 in different lighting, (b) a separate similar white button-up. Both have a single chest pocket which is a distinctive shared detail.","PHYSICAL CHECK NEEDED — compare TOP-11 shirt directly to the shirt in Img 90. If different, split into a new TOP-XX entry."
BOT-10,Img 90,Trousers,Bottom identification ambiguous,"Black full-length fabric trousers (not denim) in Img 90 are tentatively mapped to BOT-10 (black wide-leg trousers). Silhouette in Img 90 reads slightly less wide than BOT-10's prior worn photos (Imgs 22-23) — could be lighting/angle, or could be a separate black fabric trouser not yet cataloged. Not BOT-12 (cropped) since these reach the floor. Not BOT-08 (denim).",PHYSICAL CHECK NEEDED — confirm whether this is BOT-10 or a separate black trouser
—,Img 91,Shirt,Possible uncataloged white mandarin-collar shirt,"Bottom of Img 91 (flat lay) shows a partially-visible WHITE MANDARIN/BAND-COLLAR shirt distinct from TOP-22 (the Zara shirt on top). This bottom shirt does not match TOP-07 (white mandarin collar — but TOP-07 has an indigo dot print, not solid white). It is likely a new uncataloged solid-white mandarin/band-collar shirt. Cannot catalog as a new entry from a partial view.",Re-photograph this bottom shirt fully laid flat to confirm if it is a new uncataloged item
—,Img 82,—,Low-information transition shot,"Img 82 is a top-down POV of bare feet on a patterned rug, taken mid-outfit-change. The honey-gold garment held in the basket below is consistent with TOP-21 (honey gold oversized tee) — mapped on that basis. The slate/charcoal grey full-length trousers visible at the top of the frame are not confidently identifiable from this angle (medium-weight, possibly jersey or chino; could be an uncataloged item or one of the existing dark trousers in difficult lighting).","No action — flag for context only; if more grey trousers appear in later batches, watch for a possible new BOT-XX"
TOP-02,"Img 95, 96, 98",Shirt,Worn-photo coverage (RESOLVED),"TOP-02 (indigo tropical/botanical print shirt) now has ground-truth worn photos (Imgs 95-98). Previously the lowest-fidelity entry — only a folded/bunched flat lay (Img 2). Worn photos confirm: mandarin/band collar, bold tropical print with large leaves/berries/foliage motifs, relaxed fit through torso, hem sits at hip. Sleeves are worn rolled to 3/4 length. The print is high-impact and reads as a clear statement piece.","Original observation requesting re-photo is now RESOLVED. Fit, neckline, silhouette, and length fields updated in catalog."
TOP-02,"Img 95, 96, 98",Shirt,Styling note — statement piece,TOP-02 is one of the boldest prints in the wardrobe. The indigo base with warm cream/red/green botanical motifs creates strong visual interest. Works excellently against warm Indian skin — the indigo base provides contrast while the warm accents harmonize.,"Downstream: pair with solid dark bottoms (black, navy, charcoal) to let the print carry the outfit. Avoid pattern-on-pattern."
TOP-24,"Img 97, 99, 100, 101",Shirt,New item — cream serpentine-print mandarin shirt,"NEW TOP-24 added: Cream/off-white base with olive/dark-green abstract serpentine/dotted-swirl all-over pattern. Mandarin collar, long sleeves (worn rolled to 3/4), single chest pocket with contrasting edge stitching. Block-print aesthetic. Relaxed fit confirmed from 4 worn photos. The pattern has an artisan/hand-printed quality.",Brand unidentified — inspect neck tag. The print style is reminiscent of Indian block-print (possibly Fabindia or similar artisan brand — same genre as BOT-07).
TOP-24,"Img 97, 99, 100, 101",Shirt,Skin tone note,Cream base carries slight wash-out risk but the olive-green all-over pattern provides sufficient visual interest and breaks the monotone. The olive accents harmonize well with warm Indian skin. Not flagged as a caution — the pattern density rescues the cream base from blending into skin tone.,No action — no caution flag needed; downstream pairing guidance: pair with dark bottoms for best contrast.
TOP-22,"Img 93, 94",Shirt,Additional worn-photo coverage,TOP-22 (Zara cream linen V-neck boxy shirt) now has 2 additional worn images from this batch (Imgs 93-94) on top of the previous Img 89 and Img 91 flat lay. Full-body shot with BOT-10 (black trousers) confirms the boxy/cropped silhouette and linen drape. The cream-on-black combination provides good high-contrast pairing.,No action — additional reference images.
BATCH-04,Img 92-101,Multiple,Batch 04 completion summary,"Batch 04 processed 10 images (Img 92-101). Results: 2 NEW catalog items added (TOP-23, TOP-24), 2 existing items updated with new worn photos (TOP-02 first worn photos, TOP-22 additional angles). 21 uncataloged images remain. All 10 images in this batch were worn photos from the same mirror-selfie session (12.16.26-12.16.30 AM).",Continue with remaining 21 uncataloged images in next batch.
TOP-25,"Img 102, 103, 104, 108",Shirt,New item — charcoal quatrefoil-print shirt with yellow trim,NEW TOP-25 added: Charcoal/dark grey base with large-scale cream quatrefoil/clover repeat pattern. Distinctive yellow/gold contrast piping at mandarin collar and sleeve cuffs — this is the only item in the wardrobe with contrast-color trim. Relaxed/slightly boxy fit confirmed from 3 worn photos + 1 flat lay. The combination of bold pattern + contrast trim makes this one of the highest-visual-weight pieces in the wardrobe.,Brand unidentified — inspect neck tag. The print style and yellow trim suggest a contemporary Indian brand or designer label.
