Item ID,Item Image Name,Image References,Category,Sub-Category,Brand,Color (Primary),Color (Secondary),Pattern,Fit,Rise,Length,Silhouette,Neckline,Drape Notes,Fit Source,Fabric,Weight,Stretch,Breathability,Surface Texture,Formality (1-5),Vibe Tags,Occasion Tags,Layering Position,Season,Max Comfortable Temp (C),Condition,Wear Frequency Estimate,Color Temperature,Skin Tone Interaction,Skin Tone Caution Flag,Contrast Level,Versatility Score (1-5),Role in Outfit,Volume/Visual Weight,Shoe Type,Sole Profile,Aesthetic Range,Top Compatibility Note
TOP-01,WhatsApp Image 2026-05-17 at 8.44.43 PM.jpeg | WhatsApp Image 2026-05-18 at 12.16.32 AM (1).jpeg | WhatsApp Image 2026-05-18 at 12.16.33 AM (1).jpeg | WhatsApp Image 2026-05-18 at 12.16.33 AM (2).jpeg | WhatsApp Image 2026-05-18 at 12.16.34 AM (1).jpeg,"Img 1 (flat) | Img 105 (flat lay — back/neck label view) | Img 106 (worn full-length) | Img 107 (worn upper-body) | Img 109 (worn full-length, further angle)",T-Shirt,Crew neck T-shirt,Possibly Calvin Klein (faint chest text - not fully legible),Bright white,—,Solid,Relaxed (worn photos confirm — sits slightly loose on athletic frame without billowing),,Short-sleeve,Relaxed,Crew,"Worn photos show relaxed drape; hem sits at hip level; comfortable fit for an athletic 6'0"" frame in size XL","Worn photo (Img 106-107, 109) - ground truth",Cotton jersey,Mid,Slight,High,"Smooth, soft-washed",2,"clean, minimal, street, cosmopolitan, designer-dev","casual hangout, boys night, brunch, travel day, date night (casual)",Base,All-season,35,Good (slight creasing; faint mid-chest mark visible - possible stain or shadow),Regular,Cool/neutral,Bright white pops well against light brown skin - strong contrast,No,High,5,Supporting,Low,,,,
TOP-02,WhatsApp Image 2026-05-17 at 8.44.49 PM (1).jpeg | WhatsApp Image 2026-05-18 at 12.16.27 AM.jpeg | WhatsApp Image 2026-05-18 at 12.16.28 AM (1).jpeg | WhatsApp Image 2026-05-18 at 12.16.28 AM.jpeg,Img 2 (flat - folded/crumpled) | Img 95 (worn close-up) | Img 96 (worn full-length) | Img 98 (worn 3/4 body),Shirt,Printed mandarin-collar shirt (camp collar variant with mandarin neckline confirmed from worn photos),Unidentified,Deep indigo / navy,"Cream/ivory, red-pink, olive green",Tropical/animal print (tigers + foliage + floral motifs),Relaxed (confirmed from worn photos - sits comfortably on athletic frame with sleeves rolled to 3/4),,Regular (hem sits at hip),"Relaxed, slightly boxy",Mandarin / band collar,Worn photos confirm relaxed drape through torso; mandarin/band collar sits naturally. Bold print reads as statement piece.,"Worn photo (Img 95-96, 98) - ground truth",Likely viscose or cotton-rayon blend (drape and print clarity),Light-mid,No,Medium-high,Smooth,2,"Goa/hippie, coastal, maximalist, bold, surf","beach/Goa, casual hangout, party, boys night, brunch, restaurant (casual)",Base / open as outer (typical of printed shirts),"Summer, all-season for warm-climate travel",38,Cannot determine from photo (folded),Occasional,"Mixed (cool navy base, warm accents) - reads warm-leaning overall",Warm accents harmonize with warm Indian skin; navy provides contrast,No,High (bold pattern),2,Star,High,,,,
TOP-03,WhatsApp Image 2026-05-17 at 8.44.49 PM (2).jpeg | WhatsApp Image 2026-05-17 at 8.44.49 PM (3).jpeg,"Img 3 (flat), Img 4 (flat - different angle/orientation, same item)",Sweater,Open-knit mock-neck sweater,Unidentified,Heather grey,—,Knit texture (loose open weave),Relaxed (flat-lay reading),,Long-sleeve,"Slightly boxy on flat, drop-shoulder suspected (no worn photo)",Mock neck / high crew,No worn photo available,Flat lay only,Open-knit cotton or cotton-acrylic blend,Mid,Slight (knit construction),High (open weave),"Ribbed, open-weave, textured",2-3,"earthy, artisan, Goa/hippie, coastal, designer-dev, Scandi","casual hangout, date night (casual), brunch, travel day, beach/Goa (evening)",Mid or base (can layer over a tee),"Monsoon, winter (Bangalore-calibrated); all-season for travel to cooler climates",25,Good,Regular (cool weather),Neutral (heather grey reads slightly cool),Versatile neutral - does not disappear into warm skin,No,Medium,4,Both (star when worn solo; supporting with bold bottoms),Medium-high (open-weave is visually heavy),,,,
TOP-04,WhatsApp Image 2026-05-17 at 8.44.49 PM (4).jpeg | WhatsApp Image 2026-05-18 at 12.16.19 AM.jpeg | WhatsApp Image 2026-05-18 at 12.16.20 AM (1).jpeg,Img 5 (flat) | Img 87 (worn full-length) — FIRST worn photo for TOP-04 | Img 88 (worn waist-up close-up),T-Shirt,Graphic acid-wash T-shirt,Unidentified (chest graphic appears nature/festival themed - 'Wild Earth' or similar),Faded navy / indigo (acid-wash),"Green, yellow (chest graphic)",Acid-wash with chest graphic,Relaxed (flat-lay reading),,Short-sleeve,"Relaxed, slightly boxy",Crew,No worn photo available,Flat lay only,Cotton jersey,Mid,Slight,High,"Soft-washed, slightly weathered",2,"grunge, metalhead, street, rugged, Goa/hippie, surf","concert, casual hangout, boys night, beach/Goa, travel day",Base,All-season (warm climates),35,Worn appearance (intentional acid-wash; possible additional genuine wear - hard to distinguish),Occasional,Cool,Deep blue contrasts nicely with warm skin,No,Medium-high,3,Star (graphic + wash carry personality),Medium,,,,
TOP-05,WhatsApp Image 2026-05-17 at 8.44.49 PM.jpeg,Img 6 (flat),T-Shirt,Crew neck T-shirt,Possibly H&M (neck label typography resembles H&M - not fully legible),Warm sand / light beige,—,Solid,Relaxed (flat-lay reading),,Short-sleeve,"Relaxed, slightly boxy",Crew,No worn photo available,Flat lay only,Heavyweight cotton jersey (visible structure suggests heavier weight),Mid-heavy,Slight,High,Smooth,2,"earthy, minimal, clean, coastal, designer-dev, Scandi","casual hangout, brunch, travel day, beach/Goa, date night (casual)",Base,All-season,35,Good,Regular,Warm,CAUTION - beige/sand sits close to light brown skin tone; risks washing out / blending,YES,Low,3,Supporting,Low,,,,
TOP-06,WhatsApp Image 2026-05-17 at 8.44.50 PM (1).jpeg,Img 7 (flat),Shirt,Short-sleeve button-up shirt with chest pocket,Unidentified,Olive green / army green,Brown (buttons),Solid,Relaxed (flat-lay reading),,Short-sleeve,"Relaxed, slightly boxy cut",Camp/spread collar (button-up),No worn photo available,Flat lay only,Linen or linen-cotton blend (visible weave texture),Light-mid,No,High (linen),"Slubby, textured (linen weave)",3,"earthy, safari, coastal, artisan, rugged, designer-dev, minimal","office, date night (casual), restaurant, travel day, beach/Goa, brunch",Base / open as outer,"Summer, monsoon; all-season for warm climates",36,Good (some natural linen wrinkling),Regular,Warm,Excellent - olive harmonizes beautifully with warm Indian skin tone,No,Medium,4,Both (star buttoned; supporting open over a tee),Medium,,,,
BOT-01,WhatsApp Image 2026-05-17 at 8.44.50 PM (2).jpeg,Img 8 (flat),Trousers,Wide-leg pleated trousers,Unidentified,Warm khaki / sand / light tan,—,Solid,Wide / relaxed,Mid-high (pleated waist visible),Full length,"Wide-leg, drapes loose through leg",,No worn photo available,Flat lay only,"Likely polyester-viscose blend or tencel (smooth, drapes)",Mid,Slight,Medium,"Smooth, slight sheen",3-4,"cosmopolitan, designer-dev, editorial, Scandi, minimal, clean","office, date night (upscale), restaurant, brunch, party",,All-season,32,Good,Regular,Warm,CAUTION - light khaki/tan sits close to skin tone; risks blending below the waist,YES,Low,3,Supporting,Medium (wide silhouette adds visual weight),,,,
BOT-02,WhatsApp Image 2026-05-17 at 8.44.50 PM (3).jpeg,Img 9 (flat - tags on),Trousers,Wide-leg pleated trousers,Unidentified (visible hangtag - text not legible in photo),Light grey / silver-grey,—,Solid (subtle woven texture),Wide / relaxed,Mid-high,Full length,Wide-leg,,No worn photo available,Flat lay only,Likely wool-poly suiting blend or technical poly,Mid,Slight,Medium,"Smooth woven, slight texture",3-4,"cosmopolitan, designer-dev, editorial, minimal, clean","office, date night (upscale), restaurant, brunch",,All-season,30,New (tags on),New - pending first wear,Neutral / cool-leaning,Excellent - cool grey contrasts well with warm skin,No,Medium,4,Supporting,Medium,,,,
BOT-03,WhatsApp Image 2026-05-17 at 8.44.50 PM (4).jpeg,Img 10 (flat),Jeans,"Faded black denim, regular/straight fit",Possibly Wrangler Authentics (waistband text reads 'authentic' - matches Wrangler Authentics line),Faded black / charcoal black,—,Solid (with faded/worn texture across legs),Regular (flat-lay reading - appears straight cut),Mid,Full length,Straight,,No worn photo available,Flat lay only,"Cotton denim, heavyweight",Heavy,No (or slight if elastane present - cannot confirm),Low,Faded/worn denim surface,2,"street, rugged, grunge, metalhead, casual, designer-dev","casual hangout, boys night, concert, party, travel day",,"Winter, monsoon; all-season for cool weather",28,Worn (significant fading - could be intentional wash or genuine wear),Regular,Neutral (faded black reads neutral),"Good - neutral, does not compete with skin",No,Medium-high,4,Supporting,Medium (faded texture adds slight visual interest),,,,
TOP-07,WhatsApp Image 2026-05-17 at 8.44.50 PM (5).jpeg | WhatsApp Image 2026-05-18 at 12.13.19 AM (1).jpeg | WhatsApp Image 2026-05-18 at 12.13.19 AM (2).jpeg | WhatsApp Image 2026-05-18 at 12.13.20 AM (1).jpeg | WhatsApp Image 2026-05-18 at 12.13.20 AM (2).jpeg | WhatsApp Image 2026-05-18 at 12.13.21 AM (1).jpeg | WhatsApp Image 2026-05-18 at 12.13.21 AM (2).jpeg | WhatsApp Image 2026-05-18 at 12.13.21 AM.jpeg,Img 11 (flat) | Img 56 (worn front) | Img 57 (worn full-length) | Img 58 (worn) | Img 59 (worn) | Img 60 (worn waist-up) | Img 61 (worn back) | Img 62 (worn angle),Shirt,Mandarin collar long-sleeve shirt,Unidentified (small inner-collar label not legible),Bright white / off-white,Indigo blue (print),Abstract dot/circle pattern arranged in diamond/geometric clusters,Relaxed (worn reading confirms flat-lay read),,Long-sleeve,Relaxed,Mandarin / band collar,Multiple worn photos show relaxed fit with clean drape; sits well on athletic frame without excessive looseness. Mandarin collar sits naturally.,Worn photo (Img 56-62) - ground truth,Lightweight cotton (poplin or cotton-linen blend),Light,No,High,Smooth,3,"artisan, designer-dev, cosmopolitan, editorial, Goa/hippie","office (creative/casual), date night (casual), restaurant, brunch, beach/Goa, party",Base / open as outer,"Summer, monsoon, all-season warm",36,Good (some natural creasing),Regular,Cool (white base + indigo print),Excellent - bright white pops against warm Indian skin,No,High,4,Star (the print carries visual interest),Medium (small-scale print keeps visual weight controlled),,,,
TOP-08,WhatsApp Image 2026-05-17 at 8.44.50 PM (6).jpeg,Img 12 (flat),Shirt,Long-sleeve button-up shirt with chest pocket,American Eagle (neck label visible),Light sky blue / chambray blue,White (pinstripe),Subtle vertical pinstripe,Relaxed (flat-lay reading),,Long-sleeve,Relaxed,Button-down collar,No worn photo available,Flat lay only,Linen or linen-cotton blend (visible slubby weave),Light,No,High,Slubby/textured (linen weave),3,"coastal, preppy, clean, minimal, designer-dev, safari","office, date night (casual), restaurant, brunch, beach/Goa, travel day",Base / open as outer,"Summer, monsoon, all-season warm",36,Good,Regular,Cool,Good - light blue is a flattering cool tone against warm Indian skin,No,Medium-low (light tones),4,Supporting,Low-medium,,,,
BOT-04,WhatsApp Image 2026-05-17 at 8.44.50 PM.jpeg | WhatsApp Image 2026-05-18 at 12.13.09 AM.jpeg | WhatsApp Image 2026-05-18 at 12.13.10 AM.jpeg,"Img 13 (flat), Img 19 (worn front), Img 20 (worn side)",Trousers,Wide-leg pleated trousers,Unidentified,Dark navy (reads near-black in flat lay due to lighting; clearly navy in worn shots),—,Solid,"Wide / relaxed - confirmed from worn photo: sits clean at waist, falls full through leg",Mid to mid-high,Full length (hem breaks at the ankle in worn shot),"Wide-leg, drapes full",,Fabric drapes cleanly from the pleated waist; falls full and slightly loose through the thigh and knee; hem breaks at the ankle without stacking. Side profile shows clean drape without billowing.,"WORN PHOTO (Img 19 front, Img 20 side) - ground truth","Likely poly-viscose blend or technical suiting fabric (smooth, drapes well)",Mid,Slight,Medium,"Smooth, slight sheen",3-4,"cosmopolitan, designer-dev, editorial, minimal, clean","office, date night (upscale), restaurant, brunch, party",,All-season,30,Good,Regular,Cool (navy),Excellent - dark navy contrasts well with warm Indian skin,No,High,4,Supporting (but the wide silhouette is itself a style statement),Medium-high (wide silhouette has visual weight),,,,
BOT-05,WhatsApp Image 2026-05-17 at 9.08.12 PM.jpeg,Img 14 (flat),Shorts,Distressed denim shorts,Unidentified,Charcoal / faded black denim,—,Solid with intentional distressing (rips at the front thighs),Regular (flat-lay reading),Mid,At-knee / just-above-knee,Straight,,No worn photo available,Flat lay only,Cotton denim,Mid-heavy,No or slight,Low-medium,Denim weave with distressing,1-2,"street, grunge, metalhead, rugged, surf, casual","casual hangout, boys night, concert, beach/Goa, party (casual)",,"Summer, monsoon",38,Distressed - by design (intentional rips); some additional natural wear may be present,Occasional to regular,Neutral (charcoal),"Good - neutral dark, contrasts with warm skin",No,High,2,Star (distressing carries visual weight),High (rips draw the eye),,,,
BOT-06,WhatsApp Image 2026-05-17 at 9.08.13 PM.jpeg | WhatsApp Image 2026-05-18 at 12.15.12 AM.jpeg | WhatsApp Image 2026-05-18 at 12.15.13 AM.jpeg | WhatsApp Image 2026-05-18 at 12.15.15 AM (1).jpeg | WhatsApp Image 2026-05-18 at 12.15.15 AM.jpeg | WhatsApp Image 2026-05-18 at 12.15.16 AM.jpeg,"Img 15 (flat) | Img 74 (worn full-length) | Img 75 (worn front/angled) | Img 76 (worn waist-down close-up) | Img 77 (worn full-length, alt top) | Img 78 (worn full-length, alt top angle)",Shorts,Linen-look chino shorts,Possibly Jack & Jones / Selected (partial brand text visible on label - '& Jones' fragment readable),Warm beige / sand / light tan,—,Solid (subtle linen-look weave),Regular (label reads 'REGULAR'),Mid,At-knee,Straight,,No worn photo available,Flat lay only,Cotton-linen blend (subtle slubby texture),Light-mid,No,High,Slubby (linen-look),2-3,"coastal, earthy, preppy, clean, designer-dev, Goa/hippie","brunch, casual hangout, beach/Goa, restaurant (casual), travel day, date night (casual)",,"Summer, monsoon",38,Good,Regular,Warm,CAUTION - warm beige/sand sits close to skin tone; less risky below the waist than a top but still flagged,YES,Low,3,Supporting,Low-medium,,,,
BOT-07,WhatsApp Image 2026-05-17 at 9.08.14 PM.jpeg,Img 16 (flat),Shorts,Faded denim / chambray shorts,Fabindia (label clearly visible),Faded blue-grey / chambray,—,"Solid (faded denim texture, no patterning)",Regular (flat-lay reading),Mid,At-knee,Straight,,No worn photo available,Flat lay only,Chambray or lightweight denim,Mid,No,Medium,Chambray weave,2-3,"coastal, earthy, preppy, casual, Goa/hippie, artisan","brunch, casual hangout, beach/Goa, restaurant (casual), travel day",,"Summer, monsoon",36,Worn / faded (could be stylistic wash or genuine wear - hard to distinguish),Regular,Cool (chambray reads cool),Good - chambray blue contrasts with warm Indian skin,No,Medium,4,Supporting,Low-medium,,,,
BOT-08,WhatsApp Image 2026-05-18 at 12.13.06 AM.jpeg | WhatsApp Image 2026-05-18 at 12.13.07 AM.jpeg,"Img 17 (worn front), Img 18 (worn side)",Jeans,"Black denim jeans, straight cut",Unidentified (small leather patch visible at back-right waist - logo not legible in photo),Dark black / near-black denim (subtle thigh fading visible),—,Solid (subtle denim fade),"Regular / straight - WORN photo confirms: sits at mid-rise, hangs cleanly from the hip without bunching",Mid,"Full length, hem just touches the foot",Straight (slight slouch through thigh),,Front view shows clean drape from hip down without pinching; side profile confirms straight cut with no taper through the calf; hem rests on the foot without stacking. Sits well on the athletic frame.,"WORN PHOTO (Img 17 front, Img 18 side) - ground truth",Cotton denim,Heavy,Cannot confirm,Low,Denim weave,2,"street, rugged, metalhead, grunge, cosmopolitan, designer-dev","casual hangout, boys night, concert, party, travel day, date night (casual)",,"Winter, monsoon, all-season for cool weather",28,Good (light fading consistent with regular wear),Regular,Neutral,"Good - neutral dark base, doesn't compete with skin",No,High,4,Supporting,Low-medium,,,,
BOT-09,WhatsApp Image 2026-05-18 at 12.13.12 AM.jpeg,Img 21 (worn),Jeans,Regular-fit medium-wash denim,Unidentified,Medium blue / mid-wash,—,Solid,Regular / straight,Mid-rise,Full length,Straight,,Sits at mid-rise; drapes cleanly from hip. Minimal taper through thigh and knee. Hem breaks at the foot.,Worn photo (Img 21),"Cotton denim, heavyweight",Heavy,No,Low,Denim weave,2,"street, casual, cosmopolitan, designer-dev","casual hangout, boys night, travel day, date night (casual)",,"Winter, monsoon, all-season for cool weather",28,Good (light fading consistent with regular wear),Regular,Neutral,Good - neutral medium blue contrasts with warm skin,No,Medium-high,4,Supporting,Low-medium,,,,
BOT-10,WhatsApp Image 2026-05-18 at 12.13.13 AM.jpeg | WhatsApp Image 2026-05-18 at 12.13.14 AM (1).jpeg | WhatsApp Image 2026-05-18 at 12.16.25 AM (1).jpeg,Img 22 (worn front) | Img 23 (worn side) | Img 90 (worn full-length) — TENTATIVE; bottom identification ambiguous,Trousers,Wide-leg trousers,Unidentified,Black / near-black,—,Solid,Wide / relaxed,Mid-rise,Full length,Wide-leg,,Falls full and loose through thigh and knee without billowing. Hem breaks at ankle cleanly.,"Worn photo (Img 22, 23)",Likely poly-viscose blend (smooth fabric),Mid,Slight,Medium,"Smooth, slight sheen",3,"cosmopolitan, designer-dev, minimal, clean","office, date night (upscale), restaurant",,All-season,30,Good,Regular,Cool,Excellent - black contrasts well with warm skin,No,High,4,Supporting,Medium-high,,,,
BOT-11,WhatsApp Image 2026-05-18 at 12.13.14 AM.jpeg | WhatsApp Image 2026-05-18 at 12.13.15 AM.jpeg | WhatsApp Image 2026-05-18 at 12.13.15 AM (1).jpeg | WhatsApp Image 2026-05-18 at 12.13.15 AM (2).jpeg | WhatsApp Image 2026-05-18 at 12.13.16 AM (2).jpeg | WhatsApp Image 2026-05-18 at 12.16.17 AM.jpeg | WhatsApp Image 2026-05-18 at 12.16.18 AM (1).jpeg | WhatsApp Image 2026-05-18 at 12.16.18 AM.jpeg | WhatsApp Image 2026-05-18 at 12.16.19 AM (1).jpeg | WhatsApp Image 2026-05-18 at 12.16.19 AM.jpeg | WhatsApp Image 2026-05-18 at 12.16.20 AM (1).jpeg | WhatsApp Image 2026-05-18 at 12.16.21 AM (1).jpeg,"Img 24 (worn front) | Img 25 (worn side) | Img 26 (worn back) | Img 27 (flat) | Img 54 (flat close-up) | Img 83 (worn full-length) | Img 84 (worn full-length, alt angle) | Img 85 (worn waist-up) | Img 86 (worn full-length) | Img 87 (worn full-length) | Img 88 (worn waist-up) | Img 89 (worn partial — bottom visible below TOP-22)",Trousers,Wide-leg pleated trousers,Unidentified,Olive green / warm tan,—,Solid,"Wide / relaxed, pleated front",Mid-high,Full length,Wide-leg,,Pleated waist; worn photos show clean drape from mid-high rise through full leg. Hem breaks at ankle.,Worn photo (Img 24-26),"Likely poly-viscose or tencel (smooth, drapes well)",Mid,Slight,Medium,"Smooth, slight sheen",3-4,"cosmopolitan, designer-dev, editorial, minimal","office, date night (upscale), restaurant, brunch",,All-season,32,Good,Regular,Warm,CAUTION - olive-tan close to warm skin tone; risk of blending,YES,Low-medium,3,Supporting,Medium-high,,,,
BOT-12,WhatsApp Image 2026-05-18 at 12.13.16 AM.jpeg | WhatsApp Image 2026-05-18 at 12.13.16 AM (1).jpeg,Img 28 (worn) | Img 29 (worn side),Trousers,Cropped/ankle-tapered trousers,Unidentified,Black / near-black,—,Solid,Tapered / cropped,Mid to mid-high,Cropped (ends above ankle),Cropped/tapered,,Clean drape from mid-rise; tapers through thigh and calf. Ankle opening tapered but not skinny.,Worn photo (Img 28-29),Likely cotton-poly or wool-poly blend,Mid,Slight,Medium,Smooth,3,"minimal, designer-dev, clean, cosmopolitan","office, date night (casual), brunch, restaurant",,All-season,30,Good,Regular,Cool,Excellent - black contrasts with warm skin,No,High,4,Supporting,Low-medium,,,,
BOT-13,WhatsApp Image 2026-05-18 at 12.13.17 AM.jpeg | WhatsApp Image 2026-05-18 at 12.13.17 AM (1).jpeg | WhatsApp Image 2026-05-18 at 12.13.17 AM (2).jpeg | WhatsApp Image 2026-05-18 at 12.13.18 AM.jpeg,Img 30 (worn) | Img 31 (worn) | Img 32 (worn) | Img 33 (flat),Trousers,Plaid trousers,Unidentified,Cream / light beige,Grey (plaid pattern),Plaid,Regular / relaxed,Mid-rise,Full length,Regular / straight,,Relaxed drape through thigh and knee. Hem breaks at the foot.,Worn photo (Img 30-32),Likely linen or linen-cotton blend (visible texture),Light-mid,No,High (linen),Textured / slubby,2-3,"earthy, artisan, designer-dev, coastal","brunch, casual hangout, restaurant (casual), beach/Goa, travel day",,"Summer, monsoon, all-season warm",38,Good,Regular,Warm,CAUTION - light cream/beige close to skin tone; risk of blending,YES,Low-medium,3,Supporting,Low-medium,,,,
TOP-09,WhatsApp Image 2026-05-18 at 12.16.20 AM.jpeg,Img 34 (worn),T-Shirt,Graphic T-shirt,Unidentified,Charcoal grey,Cream / off-white (graphic),Graphic print (tree/nature logo),Relaxed (worn reading),,Short-sleeve,Relaxed,Crew,Relaxed drape; sits slightly loose without billowing. Good fit for athletic frame.,Worn photo (Img 34),Cotton jersey,Mid,Slight,High,"Soft, smooth",2,"street, casual, grunge, designer-dev","casual hangout, boys night, concert, beach/Goa",Base,All-season (warm climates),35,Good,Regular,Cool,Good - charcoal provides contrast; cream graphic adds interest,No,Medium-high,3,Star (graphic carries personality),Medium,,,,
TOP-10,WhatsApp Image 2026-05-18 at 12.16.21 AM.jpeg | WhatsApp Image 2026-05-18 at 12.16.22 AM.jpeg | WhatsApp Image 2026-05-18 at 12.16.23 AM.jpeg,Img 35 (worn) | Img 36 (worn) | Img 37 (worn 3/4 sleeve or same),Shirt,Camp collar shirt (short-sleeve),Unidentified,Cream / off-white,—,Solid,Relaxed (worn reading),,Short-sleeve,Relaxed / slightly boxy,Camp / spread collar,Relaxed fit through torso; sits slightly loose but maintains clean lines. Camp collar drapes softly.,Worn photo (Img 35-37),Lightweight cotton or cotton-linen blend,Light,No,High,Smooth / linen-like weave,2,"minimal, clean, coastal, designer-dev","brunch, casual hangout, beach/Goa, date night (casual), restaurant (casual)",Base / open as outer,"Summer, monsoon, all-season warm",38,Good,Regular,Warm,CAUTION - cream/off-white risks washing out in certain lighting,YES,Low,2,Supporting (needs high-contrast bottoms),Low-medium,,,,
